,P3_22,P3_21,P3_20,P3_19,csvTime
263,15,16,-335,-330,2024-05-17 05:23:02
264,15,16,-340,-344,2024-05-17 05:24:02
265,15,16,-340,-344,2024-05-17 05:25:02
266,15,16,-340,-344,2024-05-17 05:26:02
267,15,16,-340,-344,2024-05-17 05:27:02
268,15,16,-340,-344,2024-05-17 05:28:02
269,15,16,-340,-344,2024-05-17 05:29:02
270,15,16,-344,-344,2024-05-17 05:30:02
271,15,16,-344,-344,2024-05-17 05:31:02
272,15,16,-344,-344,2024-05-17 05:32:02
273,17,17,-344,-344,2024-05-17 05:33:02
274,16,17,-344,-344,2024-05-17 05:34:02
275,16,17,-344,-344,2024-05-17 05:35:02
276,16,17,-344,-344,2024-05-17 05:36:02
277,16,17,-344,-344,2024-05-17 05:37:02
278,16,17,-131,-158,2024-05-17 05:38:02
279,17,17,-93,-161,2024-05-17 05:39:02
280,16,17,-177,-191,2024-05-17 05:40:02
281,16,17,-86,-128,2024-05-17 05:41:02
282,17,17,-20,-20,2024-05-17 05:42:02
283,16,17,-218,-226,2024-05-17 05:43:02
284,16,17,-296,-265,2024-05-17 05:44:02
285,17,17,-272,-261,2024-05-17 05:45:02
286,16,17,-335,-344,2024-05-17 05:46:02
287,17,17,-340,-347,2024-05-17 05:47:02
288,16,17,-335,-355,2024-05-17 05:48:02
289,17,17,-344,-344,2024-05-17 05:49:02
290,17,17,-263,-261,2024-05-17 05:50:02
291,16,17,-91,-121,2024-05-17 05:51:02
292,16,17,-288,-307,2024-05-17 05:52:02
293,17,17,-340,-347,2024-05-17 05:53:02
294,16,17,-330,-335,2024-05-17 05:54:02
295,17,17,-295,-310,2024-05-17 05:55:02
296,16,17,-340,-344,2024-05-17 05:56:02
297,16,17,-340,-344,2024-05-17 05:57:02
298,17,17,-340,-344,2024-05-17 05:58:02
299,16,17,-340,-344,2024-05-17 05:59:02
300,16,17,-340,-344,2024-05-17 06:00:02
301,16,17,-340,-344,2024-05-17 06:01:02
302,16,17,-340,-344,2024-05-17 06:02:02
303,17,17,-340,-344,2024-05-17 06:03:02
304,1,0,-6,-4,2024-05-17 06:04:02
305,1,0,-6,-4,2024-05-17 06:05:02
306,1,0,-6,-2,2024-05-17 06:06:02
307,1,0,-6,-2,2024-05-17 06:07:02
308,1,0,-6,-4,2024-05-17 06:08:02
309,1,0,-6,-4,2024-05-17 06:09:02
310,1,0,-6,-6,2024-05-17 06:10:02
311,1,0,-6,-4,2024-05-17 06:11:02
312,1,0,-6,-6,2024-05-17 06:12:02
313,1,0,-6,-6,2024-05-17 06:13:02
314,1,0,-6,-4,2024-05-17 06:14:02
315,1,0,-6,-4,2024-05-17 06:15:02
316,1,0,-6,-4,2024-05-17 06:16:02
317,1,0,-6,-6,2024-05-17 06:17:02
318,1,0,-6,-4,2024-05-17 06:18:02
319,59,59,895,898,2024-05-17 06:19:02
320,30,31,895,895,2024-05-17 06:20:02
321,1,0,895,895,2024-05-17 06:21:02
322,17,17,895,898,2024-05-17 06:22:02
323,19,38,895,895,2024-05-17 06:23:02
324,27,27,895,895,2024-05-17 06:24:02
325,41,42,-58,-81,2024-05-17 06:25:02
326,41,42,116,50,2024-05-17 06:26:02
327,14,15,1,108,2024-05-17 06:27:02
328,14,15,51,68,2024-05-17 06:28:02
329,14,15,-65,-59,2024-05-17 06:29:02
330,14,15,-158,-173,2024-05-17 06:30:02
331,14,15,278,282,2024-05-17 06:31:02
332,19,20,339,342,2024-05-17 06:32:02
333,19,20,340,342,2024-05-17 06:33:02
334,19,20,339,342,2024-05-17 06:34:02
335,19,20,202,216,2024-05-17 06:35:02
336,19,20,11,-10,2024-05-17 06:36:02
337,16,17,145,173,2024-05-17 06:37:02
338,16,17,257,252,2024-05-17 06:38:02
339,16,17,250,280,2024-05-17 06:39:02
340,16,17,252,263,2024-05-17 06:40:02
341,16,17,271,293,2024-05-17 06:41:02
342,16,17,218,151,2024-05-17 06:42:02
343,16,17,312,332,2024-05-17 06:43:02
344,16,17,96,83,2024-05-17 06:44:02
345,16,17,86,105,2024-05-17 06:45:02
346,16,17,191,212,2024-05-17 06:46:02
347,16,17,206,220,2024-05-17 06:47:02
348,16,17,158,185,2024-05-17 06:48:02
349,16,17,145,133,2024-05-17 06:49:02
350,16,17,141,167,2024-05-17 06:50:02
351,16,17,133,148,2024-05-17 06:51:02
352,16,17,206,270,2024-05-17 06:52:02
353,16,17,253,212,2024-05-17 06:53:02
354,16,17,300,310,2024-05-17 06:54:02
355,16,17,316,285,2024-05-17 06:55:02
356,16,17,108,45,2024-05-17 06:56:02
357,16,17,250,262,2024-05-17 06:57:02
358,16,17,340,342,2024-05-17 06:58:02
359,16,17,342,342,2024-05-17 06:59:02
360,16,17,340,342,2024-05-17 07:00:02
361,16,17,340,342,2024-05-17 07:01:02
362,19,20,340,342,2024-05-17 07:02:02
363,19,20,340,342,2024-05-17 07:03:02
364,19,20,342,342,2024-05-17 07:04:02
365,19,20,275,241,2024-05-17 07:05:02
366,19,20,22,24,2024-05-17 07:06:02
367,13,16,592,898,2024-05-17 07:07:02
368,20,20,895,898,2024-05-17 07:08:02
369,20,20,895,898,2024-05-17 07:09:02
370,20,20,895,900,2024-05-17 07:10:02
371,1,0,895,898,2024-05-17 07:11:02
372,37,37,896,900,2024-05-17 07:12:02
373,27,0,895,898,2024-05-17 07:13:02
374,21,36,895,898,2024-05-17 07:14:02
375,47,48,895,898,2024-05-17 07:15:02
376,1,0,895,898,2024-05-17 07:16:02
377,38,39,895,898,2024-05-17 07:17:02
378,38,39,895,898,2024-05-17 07:18:02
379,20,20,65,900,2024-05-17 07:19:02
380,39,40,894,895,2024-05-17 07:20:02
381,39,40,-53,-53,2024-05-17 07:21:02
382,34,34,240,342,2024-05-17 07:22:02
383,22,23,-37,-126,2024-05-17 07:23:02
384,21,21,-340,-344,2024-05-17 07:24:02
385,21,21,-340,-344,2024-05-17 07:25:02
386,21,21,-340,-344,2024-05-17 07:26:02
387,20,21,-340,-344,2024-05-17 07:27:02
388,18,18,-248,-235,2024-05-17 07:28:02
389,18,19,-60,-65,2024-05-17 07:29:02
390,14,15,-202,-217,2024-05-17 07:30:02
391,14,16,-344,-344,2024-05-17 07:31:02
392,15,15,-344,-344,2024-05-17 07:32:02
393,16,18,-344,-344,2024-05-17 07:33:02
394,18,19,-344,-344,2024-05-17 07:34:02
395,35,36,-344,-344,2024-05-17 07:35:02
396,20,21,-344,-344,2024-05-17 07:36:02
397,18,19,-344,-344,2024-05-17 07:37:02
398,18,19,-282,-287,2024-05-17 07:38:02
399,18,19,-340,-344,2024-05-17 07:39:02
400,18,19,-340,-344,2024-05-17 07:40:02
401,18,19,-75,-68,2024-05-17 07:41:02
402,18,19,237,196,2024-05-17 07:42:02
403,16,16,-69,-86,2024-05-17 07:43:02
404,1,0,-1,0,2024-05-17 07:44:02
405,1,0,0,-2,2024-05-17 07:45:02
406,1,0,0,0,2024-05-17 07:46:02
407,1,0,0,0,2024-05-17 07:47:02
408,1,0,0,0,2024-05-17 07:48:02
409,32,33,895,898,2024-05-17 07:49:02
410,35,35,895,898,2024-05-17 07:50:02
411,35,35,895,898,2024-05-17 07:51:02
412,48,48,895,898,2024-05-17 07:52:02
413,7,12,419,0,2024-05-17 07:53:02
414,28,28,340,342,2024-05-17 07:54:02
415,36,36,340,342,2024-05-17 07:55:02
416,16,17,340,342,2024-05-17 07:56:02
417,16,17,339,342,2024-05-17 07:57:02
418,11,11,162,158,2024-05-17 07:58:02
419,10,11,-168,-237,2024-05-17 07:59:02
420,10,11,-337,-344,2024-05-17 08:00:02
421,10,11,-344,-344,2024-05-17 08:01:02
422,10,11,-344,-344,2024-05-17 08:02:02
423,11,11,-344,-344,2024-05-17 08:03:02
424,28,28,-344,-344,2024-05-17 08:04:02
425,7,8,165,171,2024-05-17 08:05:02
426,7,8,334,342,2024-05-17 08:06:02
427,7,8,340,342,2024-05-17 08:07:02
428,3,16,6,2,2024-05-17 08:08:02
429,14,14,517,545,2024-05-17 08:09:02
430,1,0,895,898,2024-05-17 08:10:02
431,1,0,895,898,2024-05-17 08:11:02
432,1,32,896,898,2024-05-17 08:12:02
433,1,0,895,898,2024-05-17 08:13:02
434,24,25,896,898,2024-05-17 08:14:02
435,26,27,895,898,2024-05-17 08:15:02
436,48,49,895,898,2024-05-17 08:16:02
437,11,12,17,0,2024-05-17 08:17:02
438,1,0,2,-2,2024-05-17 08:18:02
439,1,0,2,-2,2024-05-17 08:19:02
440,26,27,4,0,2024-05-17 08:20:02
441,24,36,520,400,2024-05-17 08:21:02
442,28,28,788,778,2024-05-17 08:22:02
443,29,29,745,721,2024-05-17 08:23:02
444,37,38,794,838,2024-05-17 08:24:02
445,29,31,681,695,2024-05-17 08:25:02
446,21,22,885,985,2024-05-17 08:26:02
447,32,34,915,874,2024-05-17 08:27:02
448,23,23,572,624,2024-05-17 08:28:02
449,22,24,795,854,2024-05-17 08:29:02
450,23,25,761,785,2024-05-17 08:30:02
451,25,23,685,637,2024-05-17 08:31:02
452,28,28,923,956,2024-05-17 08:32:02
453,28,28,895,883,2024-05-17 08:33:02
454,22,22,793,738,2024-05-17 08:34:02
455,28,28,728,711,2024-05-17 08:35:02
456,27,27,880,885,2024-05-17 08:36:02
457,33,36,900,929,2024-05-17 08:37:02
458,22,22,891,898,2024-05-17 08:38:02
459,24,25,810,814,2024-05-17 08:39:02
460,22,23,783,743,2024-05-17 08:40:02
461,23,23,955,911,2024-05-17 08:41:02
462,23,24,557,515,2024-05-17 08:42:02
463,27,26,885,945,2024-05-17 08:43:02
464,27,27,881,858,2024-05-17 08:44:02
465,31,30,856,934,2024-05-17 08:45:02
466,25,24,764,781,2024-05-17 08:46:02
467,21,22,635,612,2024-05-17 08:47:02
468,29,30,841,774,2024-05-17 08:48:02
469,21,23,705,716,2024-05-17 08:49:02
470,32,28,870,790,2024-05-17 08:50:02
471,24,26,749,775,2024-05-17 08:51:02
472,31,34,1050,1193,2024-05-17 08:52:02
473,28,28,1025,988,2024-05-17 08:53:02
474,25,26,868,866,2024-05-17 08:54:02
475,21,22,998,1010,2024-05-17 08:55:02
476,29,30,934,970,2024-05-17 08:56:02
477,24,25,914,906,2024-05-17 08:57:02
478,24,26,939,950,2024-05-17 08:58:02
479,26,27,915,949,2024-05-17 08:59:02
480,37,38,367,380,2024-05-17 10:00:02
481,32,24,435,624,2024-05-17 10:01:02
482,27,28,490,494,2024-05-17 10:02:02
483,25,24,934,920,2024-05-17 10:03:02
484,42,43,16,0,2024-05-17 10:04:02
485,30,31,905,906,2024-05-17 10:05:02
486,1,0,905,906,2024-05-17 10:06:02
487,1,0,2,-2,2024-05-17 10:07:02
488,1,0,903,906,2024-05-17 10:08:02
489,1,0,900,900,2024-05-17 10:09:02
490,40,41,1793,1795,2024-05-17 10:10:02
491,40,41,1796,1798,2024-05-17 10:11:02
492,1,0,904,900,2024-05-17 10:12:02
493,1,0,900,900,2024-05-17 10:13:02
494,1,0,841,2,2024-05-17 10:14:02
495,29,30,-56,-20,2024-05-17 10:15:02
496,14,15,-217,-140,2024-05-17 10:16:02
497,7,8,329,342,2024-05-17 10:17:02
498,7,8,339,342,2024-05-17 10:18:02
499,7,8,339,342,2024-05-17 10:19:02
500,21,22,340,342,2024-05-17 10:20:02
501,9,10,339,342,2024-05-17 10:21:02
502,9,10,339,342,2024-05-17 10:22:02
503,9,10,340,342,2024-05-17 10:23:02
504,9,10,268,266,2024-05-17 10:24:02
505,9,10,250,267,2024-05-17 10:25:02
506,9,10,251,116,2024-05-17 10:26:02
507,9,10,-66,-118,2024-05-17 10:27:02
508,9,10,181,187,2024-05-17 10:28:02
509,9,10,339,342,2024-05-17 10:29:02
510,9,10,339,342,2024-05-17 10:30:02
511,9,10,339,342,2024-05-17 10:31:02
512,15,16,340,342,2024-05-17 10:32:02
513,15,16,327,342,2024-05-17 10:33:02
514,15,16,207,198,2024-05-17 10:34:02
515,10,11,41,8,2024-05-17 10:35:02
516,10,11,-2,-37,2024-05-17 10:36:02
517,1,0,4,0,2024-05-17 10:37:02
518,1,0,895,898,2024-05-17 10:38:02
519,20,20,895,898,2024-05-17 10:39:02
520,1,0,895,898,2024-05-17 10:40:02
521,3,5,674,-2,2024-05-17 10:41:02
522,19,20,405,547,2024-05-17 10:42:02
523,1,0,3,0,2024-05-17 10:43:02
524,1,0,3,0,2024-05-17 10:44:02
525,48,0,895,898,2024-05-17 10:45:02
526,1,0,895,898,2024-05-17 10:46:02
527,29,30,895,898,2024-05-17 10:47:02
528,1,0,2,0,2024-05-17 10:48:02
529,1,0,895,898,2024-05-17 10:49:02
530,18,19,895,898,2024-05-17 10:50:02
531,1,0,895,898,2024-05-17 10:51:02
532,1,0,895,898,2024-05-17 10:52:02
533,1,0,895,898,2024-05-17 10:53:02
534,1,0,895,898,2024-05-17 10:54:02
535,1,0,895,898,2024-05-17 10:55:02
536,1,0,895,900,2024-05-17 10:56:02
537,1,0,895,895,2024-05-17 10:57:02
538,1,0,895,898,2024-05-17 10:58:02
539,1,0,895,898,2024-05-17 10:59:02
540,22,23,3,-2,2024-05-17 11:00:02
541,22,23,211,236,2024-05-17 11:01:02
542,1,0,589,900,2024-05-17 11:02:02
543,26,4,960,1795,2024-05-17 11:03:02
544,20,21,1765,1795,2024-05-17 11:04:02
545,1,0,900,900,2024-05-17 11:05:02
546,44,44,903,901,2024-05-17 11:06:02
547,1,0,900,900,2024-05-17 11:07:02
548,1,0,900,901,2024-05-17 11:08:02
549,1,0,900,901,2024-05-17 11:09:02
550,1,0,900,901,2024-05-17 11:10:02
551,11,12,4,0,2024-05-17 11:11:02
552,15,15,2,0,2024-05-17 11:12:02
553,1,0,2,0,2024-05-17 11:13:02
554,1,0,2,2,2024-05-17 11:14:02
555,1,0,2,0,2024-05-17 11:15:02
556,1,0,2,0,2024-05-17 11:16:02
557,1,0,2,0,2024-05-17 11:17:02
558,1,0,2,0,2024-05-17 11:18:02
559,1,0,2,0,2024-05-17 11:19:02
560,6,20,288,898,2024-05-17 11:20:02
561,20,0,895,900,2024-05-17 11:21:02
562,1,0,895,898,2024-05-17 11:22:02
563,14,15,83,113,2024-05-17 11:23:02
564,14,16,339,342,2024-05-17 11:24:02
565,14,15,340,342,2024-05-17 11:25:02
566,14,15,339,342,2024-05-17 11:26:02
567,11,12,329,325,2024-05-17 11:27:02
568,1,0,4,0,2024-05-17 11:28:02
569,1,0,3,2,2024-05-17 11:29:02
570,1,0,3,0,2024-05-17 11:30:02
571,1,0,895,898,2024-05-17 11:31:02
572,1,0,895,898,2024-05-17 11:32:02
573,37,38,895,900,2024-05-17 11:33:02
574,1,0,850,81,2024-05-17 11:34:02
575,33,34,894,898,2024-05-17 11:35:02
576,1,0,895,898,2024-05-17 11:36:02
577,26,27,895,898,2024-05-17 11:37:02
578,18,20,896,898,2024-05-17 11:38:02
579,30,31,895,898,2024-05-17 11:39:02
580,15,18,895,898,2024-05-17 11:40:02
