,P1_25,csvTime,P1_24,P1_3,P1_2
75,113,2024-05-17 02:15:01,1803,0,0
76,110,2024-05-17 02:16:01,1803,0,0
77,111,2024-05-17 02:17:01,1803,0,0
78,110,2024-05-17 02:18:01,1802,0,0
79,112,2024-05-17 02:19:01,1804,0,8
80,110,2024-05-17 02:20:01,1802,0,0
81,110,2024-05-17 02:21:01,1806,0,0
82,108,2024-05-17 02:22:01,1800,0,0
83,111,2024-05-17 02:23:01,1803,0,0
84,112,2024-05-17 02:24:01,1803,0,0
85,112,2024-05-17 02:25:01,1802,0,0
86,110,2024-05-17 02:26:01,1803,0,0
87,111,2024-05-17 02:27:01,1805,0,0
88,111,2024-05-17 02:28:01,1805,0,0
89,110,2024-05-17 02:29:01,1804,0,8
90,113,2024-05-17 02:30:01,1803,0,0
91,113,2024-05-17 02:31:01,1803,0,0
92,114,2024-05-17 02:32:01,1800,0,0
93,111,2024-05-17 02:33:01,1802,0,0
94,105,2024-05-17 02:34:01,1803,0,0
95,106,2024-05-17 02:35:02,1802,0,0
96,106,2024-05-17 02:36:01,1803,0,0
97,107,2024-05-17 02:37:01,1803,0,0
98,112,2024-05-17 02:38:01,1805,0,0
99,112,2024-05-17 02:39:01,1803,0,8
100,111,2024-05-17 02:40:01,1803,0,0
101,109,2024-05-17 02:41:01,1802,0,0
102,114,2024-05-17 02:42:01,1800,0,0
103,112,2024-05-17 02:43:01,1802,0,0
104,113,2024-05-17 02:44:01,1802,0,0
105,113,2024-05-17 02:45:01,1804,0,0
106,115,2024-05-17 02:46:01,1802,0,0
107,112,2024-05-17 02:47:01,1805,0,0
108,115,2024-05-17 02:48:01,1803,0,0
109,115,2024-05-17 02:49:01,1804,0,8
110,109,2024-05-17 02:50:01,1804,0,0
111,112,2024-05-17 02:51:01,1802,0,0
112,114,2024-05-17 02:52:01,1800,0,0
113,109,2024-05-17 02:53:01,1803,0,0
114,110,2024-05-17 02:54:01,1802,0,0
115,109,2024-05-17 02:55:01,1807,0,0
116,111,2024-05-17 02:56:01,1804,0,0
117,106,2024-05-17 02:57:01,1802,0,0
118,109,2024-05-17 02:58:01,1804,0,0
119,109,2024-05-17 02:59:02,1805,0,0
120,112,2024-05-17 03:00:01,1804,0,0
121,111,2024-05-17 03:01:01,1800,0,0
122,108,2024-05-17 03:02:01,1804,0,0
123,112,2024-05-17 03:03:01,1803,0,0
124,110,2024-05-17 03:04:01,1804,0,0
125,110,2024-05-17 03:05:01,1803,0,0
126,110,2024-05-17 03:06:01,1802,0,8
127,112,2024-05-17 03:07:01,1804,0,8
128,114,2024-05-17 03:08:01,1801,0,8
129,111,2024-05-17 03:09:01,1801,0,0
130,111,2024-05-17 03:10:01,1800,0,0
131,114,2024-05-17 03:11:01,1802,0,0
132,114,2024-05-17 03:12:01,1800,0,0
133,112,2024-05-17 03:13:01,1802,0,0
134,110,2024-05-17 03:14:01,1801,0,0
135,109,2024-05-17 03:15:01,1805,0,8
136,107,2024-05-17 03:16:01,1802,0,0
137,112,2024-05-17 03:17:01,1802,0,0
138,109,2024-05-17 03:18:01,1802,0,0
139,109,2024-05-17 03:19:01,1802,0,0
140,110,2024-05-17 03:20:01,1800,0,0
141,108,2024-05-17 03:21:01,1802,0,0
142,110,2024-05-17 03:22:01,1799,0,0
143,113,2024-05-17 03:23:01,1801,0,0
144,107,2024-05-17 03:24:01,1802,0,0
145,113,2024-05-17 03:25:01,1802,0,8
146,112,2024-05-17 03:26:01,1802,0,0
147,110,2024-05-17 03:27:01,1802,0,0
148,112,2024-05-17 03:28:01,1802,0,0
149,110,2024-05-17 03:29:01,1802,0,0
150,112,2024-05-17 03:30:01,1803,0,0
151,107,2024-05-17 03:31:01,1800,0,0
152,107,2024-05-17 03:32:01,1802,0,0
153,107,2024-05-17 03:33:01,1802,0,0
154,111,2024-05-17 03:34:01,1802,0,8
155,107,2024-05-17 03:35:01,1803,0,0
156,105,2024-05-17 03:36:02,1802,0,0
157,106,2024-05-17 03:37:02,1802,0,0
158,109,2024-05-17 03:38:01,1801,0,0
159,105,2024-05-17 03:39:01,1802,0,0
160,109,2024-05-17 03:40:01,1800,0,0
161,107,2024-05-17 03:41:01,1803,0,0
162,108,2024-05-17 03:42:01,1800,0,0
163,110,2024-05-17 03:43:01,1804,0,0
164,109,2024-05-17 03:44:01,1808,0,8
165,111,2024-05-17 03:45:01,1804,0,0
166,113,2024-05-17 03:46:01,1802,0,0
167,110,2024-05-17 03:47:01,1803,0,0
168,113,2024-05-17 03:48:01,1800,0,0
169,109,2024-05-17 03:49:01,1800,0,0
170,111,2024-05-17 03:50:01,1805,0,0
171,110,2024-05-17 03:51:01,1804,0,0
172,112,2024-05-17 03:52:01,1804,0,0
173,110,2024-05-17 03:53:01,1804,0,0
174,112,2024-05-17 03:54:01,1803,0,8
175,112,2024-05-17 03:55:01,1802,0,8
176,109,2024-05-17 03:56:01,1804,0,0
177,111,2024-05-17 03:57:01,1803,0,0
178,110,2024-05-17 03:58:01,1803,0,0
179,110,2024-05-17 03:59:01,1803,0,0
180,112,2024-05-17 04:00:01,1804,0,0
181,109,2024-05-17 04:01:01,1804,0,0
182,112,2024-05-17 04:02:01,1803,0,0
183,104,2024-05-17 04:03:01,1804,0,0
184,104,2024-05-17 04:04:02,1804,0,0
185,99,2024-05-17 04:05:01,1803,0,0
186,106,2024-05-17 04:06:01,1802,0,0
187,104,2024-05-17 04:07:01,1802,0,0
188,100,2024-05-17 04:08:01,1800,0,0
189,104,2024-05-17 04:09:01,1800,0,0
190,108,2024-05-17 04:10:01,1802,0,0
191,107,2024-05-17 04:11:01,1802,0,0
192,108,2024-05-17 04:12:01,1806,0,0
193,108,2024-05-17 04:13:01,1801,0,8
194,109,2024-05-17 04:14:01,1802,0,8
195,110,2024-05-17 04:15:01,1801,0,0
196,109,2024-05-17 04:16:01,1803,0,0
197,111,2024-05-17 04:17:01,1800,0,0
198,112,2024-05-17 04:18:01,1802,0,0
199,109,2024-05-17 04:19:01,1802,0,0
200,111,2024-05-17 04:20:01,1804,0,0
201,110,2024-05-17 04:21:01,1803,0,0
202,112,2024-05-17 04:22:01,1800,0,0
203,111,2024-05-17 04:23:01,1799,0,8
204,110,2024-05-17 04:24:01,1801,0,0
205,111,2024-05-17 04:25:01,1800,0,0
206,110,2024-05-17 04:26:01,1802,0,0
207,107,2024-05-17 04:27:01,1801,0,0
208,107,2024-05-17 04:28:01,1802,0,0
209,110,2024-05-17 04:29:01,1802,0,0
210,110,2024-05-17 04:30:01,1801,0,0
211,113,2024-05-17 04:31:01,1800,0,0
212,110,2024-05-17 04:32:01,1800,0,0
213,110,2024-05-17 04:33:01,1802,0,8
214,113,2024-05-17 04:34:01,1800,0,8
215,111,2024-05-17 04:35:01,1801,0,0
216,112,2024-05-17 04:36:01,1802,0,0
217,108,2024-05-17 04:37:01,1800,0,0
218,106,2024-05-17 04:38:01,1800,0,0
219,108,2024-05-17 04:39:01,1800,0,0
220,108,2024-05-17 04:40:01,1803,0,0
221,107,2024-05-17 04:41:01,1805,0,0
222,100,2024-05-17 04:42:01,1801,0,0
223,108,2024-05-17 04:43:01,1803,0,8
224,105,2024-05-17 04:44:01,1805,0,8
225,103,2024-05-17 04:45:01,1802,0,8
226,103,2024-05-17 04:46:01,1802,0,0
227,101,2024-05-17 04:47:01,1804,0,0
228,108,2024-05-17 04:48:01,1800,0,0
229,108,2024-05-17 04:49:01,1802,0,0
230,109,2024-05-17 04:50:01,1802,0,0
231,105,2024-05-17 04:51:01,1801,0,0
232,107,2024-05-17 04:52:01,1804,0,0
233,103,2024-05-17 04:53:01,1802,0,0
234,103,2024-05-17 04:54:01,1803,0,0
235,105,2024-05-17 04:55:01,1802,0,0
236,105,2024-05-17 04:56:01,1800,0,0
237,109,2024-05-17 04:57:01,1803,0,0
238,109,2024-05-17 04:58:01,1803,0,0
239,103,2024-05-17 04:59:01,1802,0,0
240,110,2024-05-17 05:00:01,1802,0,0
241,107,2024-05-17 05:01:01,1802,0,0
242,109,2024-05-17 05:02:01,1803,0,0
243,110,2024-05-17 05:03:01,1805,0,8
244,107,2024-05-17 05:04:01,1802,0,8
245,108,2024-05-17 05:05:01,1801,0,0
246,110,2024-05-17 05:06:02,1800,0,0
247,109,2024-05-17 05:07:01,1801,0,0
248,111,2024-05-17 05:08:01,1801,0,0
249,112,2024-05-17 05:09:01,1804,0,0
250,109,2024-05-17 05:10:01,1802,0,0
251,108,2024-05-17 05:11:01,1802,0,0
252,109,2024-05-17 05:12:01,1802,0,0
253,107,2024-05-17 05:13:01,1801,0,8
254,104,2024-05-17 05:14:01,1802,0,8
255,110,2024-05-17 05:15:01,1800,0,0
256,107,2024-05-17 05:16:01,1801,0,0
257,109,2024-05-17 05:17:01,1804,0,0
258,107,2024-05-17 05:18:01,1801,0,0
259,110,2024-05-17 05:19:01,1800,0,0
260,107,2024-05-17 05:20:01,1802,0,0
261,109,2024-05-17 05:21:01,1801,0,0
262,108,2024-05-17 05:22:01,1801,0,0
263,109,2024-05-17 05:23:01,1801,0,8
264,110,2024-05-17 05:24:01,1801,0,0
265,104,2024-05-17 05:25:01,1800,0,0
266,108,2024-05-17 05:26:01,1800,0,0
267,108,2024-05-17 05:27:01,1800,0,0
268,107,2024-05-17 05:28:01,1801,0,0
269,107,2024-05-17 05:29:01,1802,0,0
270,107,2024-05-17 05:30:01,1799,0,0
271,106,2024-05-17 05:31:01,1801,0,0
272,107,2024-05-17 05:32:01,1798,0,8
273,108,2024-05-17 05:33:01,1799,0,0
274,109,2024-05-17 05:34:01,1799,0,0
275,110,2024-05-17 05:35:01,1800,0,0
276,111,2024-05-17 05:36:01,1799,0,0
277,108,2024-05-17 05:37:01,1801,0,0
278,110,2024-05-17 05:38:01,1800,0,0
279,110,2024-05-17 05:39:01,1799,0,0
280,107,2024-05-17 05:40:01,1803,0,0
281,110,2024-05-17 05:41:02,1803,0,0
282,112,2024-05-17 05:42:01,1798,0,8
283,108,2024-05-17 05:43:01,1800,0,0
284,105,2024-05-17 05:44:01,1799,0,0
285,106,2024-05-17 05:45:01,1800,0,0
286,110,2024-05-17 05:46:01,1798,0,0
287,111,2024-05-17 05:47:01,1802,0,0
288,104,2024-05-17 05:48:01,1797,0,0
289,110,2024-05-17 05:49:01,1798,0,0
290,109,2024-05-17 05:50:01,1798,0,0
291,106,2024-05-17 05:51:01,1797,0,8
292,109,2024-05-17 05:52:01,1799,0,8
293,107,2024-05-17 05:53:01,1800,0,0
294,109,2024-05-17 05:54:01,1799,0,0
295,108,2024-05-17 05:55:01,1802,0,0
296,112,2024-05-17 05:56:01,1801,0,0
297,111,2024-05-17 05:57:01,1798,0,0
298,111,2024-05-17 05:58:01,1800,0,0
299,108,2024-05-17 05:59:01,1797,0,0
300,113,2024-05-17 06:00:01,1796,0,0
301,112,2024-05-17 06:01:01,1799,0,8
302,108,2024-05-17 06:02:01,1802,0,0
303,109,2024-05-17 06:03:01,1798,0,0
304,105,2024-05-17 06:04:01,1800,0,0
305,110,2024-05-17 06:05:01,1801,0,0
306,110,2024-05-17 06:06:01,1800,0,0
307,108,2024-05-17 06:07:01,1799,0,0
308,103,2024-05-17 06:08:01,1801,0,0
309,110,2024-05-17 06:09:01,1802,0,0
310,109,2024-05-17 06:10:01,1797,0,0
311,108,2024-05-17 06:11:01,1798,0,8
312,109,2024-05-17 06:12:01,1801,0,8
313,109,2024-05-17 06:13:01,1798,0,0
314,115,2024-05-17 06:14:01,1796,0,0
315,114,2024-05-17 06:15:01,1800,0,0
316,116,2024-05-17 06:16:01,1798,0,0
317,103,2024-05-17 06:17:01,1799,0,0
318,102,2024-05-17 06:18:01,1802,0,0
319,164,2024-05-17 06:19:01,1796,0,0
320,110,2024-05-17 06:20:01,1801,0,0
321,97,2024-05-17 06:21:01,1802,0,8
322,103,2024-05-17 06:22:01,1803,0,0
323,105,2024-05-17 06:23:01,1802,0,0
324,109,2024-05-17 06:24:01,1799,0,0
325,146,2024-05-17 06:25:01,1795,0,0
326,149,2024-05-17 06:26:01,1796,0,0
327,104,2024-05-17 06:27:01,1802,0,0
328,104,2024-05-17 06:28:01,1802,0,0
329,104,2024-05-17 06:29:01,1802,0,0
330,102,2024-05-17 06:30:01,1801,0,0
331,102,2024-05-17 06:31:01,1801,0,0
332,110,2024-05-17 06:32:01,1801,0,0
333,112,2024-05-17 06:33:01,1800,0,0
334,108,2024-05-17 06:34:01,1800,0,0
335,108,2024-05-17 06:35:01,1801,0,0
336,102,2024-05-17 06:36:01,1802,0,0
337,106,2024-05-17 06:37:01,1801,0,0
338,109,2024-05-17 06:38:01,1802,0,0
339,109,2024-05-17 06:39:01,1802,0,0
340,110,2024-05-17 06:40:01,1801,0,0
341,109,2024-05-17 06:41:01,1802,0,8
342,106,2024-05-17 06:42:01,1802,0,8
343,110,2024-05-17 06:43:01,1802,0,0
344,105,2024-05-17 06:44:01,1799,0,0
345,112,2024-05-17 06:45:01,1802,0,0
346,112,2024-05-17 06:46:01,1801,0,0
347,109,2024-05-17 06:47:01,1802,0,0
348,112,2024-05-17 06:48:01,1800,0,0
349,113,2024-05-17 06:49:01,1799,0,0
350,112,2024-05-17 06:50:01,1801,0,8
351,109,2024-05-17 06:51:01,1801,0,0
352,106,2024-05-17 06:52:01,1801,0,0
353,106,2024-05-17 06:53:01,1802,0,0
354,108,2024-05-17 06:54:01,1800,0,0
355,104,2024-05-17 06:55:01,1800,0,0
356,107,2024-05-17 06:56:01,1802,0,0
357,108,2024-05-17 06:57:01,1801,0,0
358,107,2024-05-17 06:58:01,1802,0,0
359,110,2024-05-17 06:59:01,1802,0,8
360,107,2024-05-17 07:00:01,1801,0,0
361,108,2024-05-17 07:01:01,1801,0,0
362,108,2024-05-17 07:02:01,1799,0,0
363,111,2024-05-17 07:03:01,1802,0,0
364,110,2024-05-17 07:04:01,1802,0,0
365,112,2024-05-17 07:05:01,1800,0,0
366,112,2024-05-17 07:06:01,1802,0,0
367,102,2024-05-17 07:07:01,1801,0,8
368,107,2024-05-17 07:08:01,1800,0,0
369,106,2024-05-17 07:09:01,1802,0,0
370,107,2024-05-17 07:10:01,1802,0,0
371,102,2024-05-17 07:11:01,1805,0,0
372,114,2024-05-17 07:12:01,1800,0,0
373,112,2024-05-17 07:13:01,1804,0,0
374,104,2024-05-17 07:14:01,1806,0,0
375,127,2024-05-17 07:15:01,1800,0,0
376,100,2024-05-17 07:16:01,1802,0,0
377,115,2024-05-17 07:17:01,1802,0,0
378,116,2024-05-17 07:18:01,1801,0,0
379,112,2024-05-17 07:19:01,1803,0,0
380,138,2024-05-17 07:20:01,1799,0,0
381,132,2024-05-17 07:21:01,1800,0,0
382,130,2024-05-17 07:22:02,1802,0,0
383,110,2024-05-17 07:23:01,1802,0,0
384,107,2024-05-17 07:24:01,1801,0,0
385,106,2024-05-17 07:25:01,1803,0,0
386,107,2024-05-17 07:26:01,1802,0,8
387,106,2024-05-17 07:27:01,1803,0,0
388,108,2024-05-17 07:28:01,1805,0,0
389,107,2024-05-17 07:29:01,1800,0,0
390,103,2024-05-17 07:30:01,1800,0,0
391,103,2024-05-17 07:31:01,1802,0,0
392,105,2024-05-17 07:32:01,1804,0,0
393,106,2024-05-17 07:33:01,1802,0,0
394,104,2024-05-17 07:34:01,1806,0,0
395,116,2024-05-17 07:35:01,1802,0,0
396,108,2024-05-17 07:36:01,1800,0,8
397,108,2024-05-17 07:37:01,1803,0,0
398,106,2024-05-17 07:38:01,1802,0,0
399,107,2024-05-17 07:39:01,1805,0,0
400,108,2024-05-17 07:40:01,1802,0,0
401,109,2024-05-17 07:41:01,1802,0,0
402,107,2024-05-17 07:42:01,1805,0,0
403,106,2024-05-17 07:43:01,1802,0,0
404,101,2024-05-17 07:44:01,1800,0,0
405,114,2024-05-17 07:45:01,1802,0,8
406,111,2024-05-17 07:46:01,1805,0,0
407,101,2024-05-17 07:47:01,1803,0,0
408,103,2024-05-17 07:48:01,1806,0,0
409,112,2024-05-17 07:49:01,1805,0,0
410,112,2024-05-17 07:50:01,1801,0,0
411,110,2024-05-17 07:51:01,1802,0,0
412,135,2024-05-17 07:52:01,1800,0,0
413,100,2024-05-17 07:53:01,1800,0,0
414,112,2024-05-17 07:54:01,1800,0,8
415,130,2024-05-17 07:55:01,1803,0,8
416,110,2024-05-17 07:56:01,1802,0,0
417,106,2024-05-17 07:57:01,1803,0,0
418,102,2024-05-17 07:58:01,1804,0,0
419,100,2024-05-17 07:59:01,1802,0,0
420,102,2024-05-17 08:00:01,1803,0,0
421,95,2024-05-17 08:01:01,1803,0,0
422,95,2024-05-17 08:02:01,1802,0,0
423,99,2024-05-17 08:03:01,1800,0,0
424,110,2024-05-17 08:04:01,1800,0,8
425,103,2024-05-17 08:05:01,1806,0,8
426,100,2024-05-17 08:06:01,1804,0,0
427,100,2024-05-17 08:07:01,1805,0,0
428,102,2024-05-17 08:08:01,1803,0,0
429,111,2024-05-17 08:09:01,1802,0,0
430,105,2024-05-17 08:10:01,1804,0,0
431,107,2024-05-17 08:11:01,1805,0,0
432,107,2024-05-17 08:12:01,1802,0,0
433,110,2024-05-17 08:13:01,1804,0,8
434,105,2024-05-17 08:14:01,1802,0,0
435,113,2024-05-17 08:15:01,1802,0,0
436,153,2024-05-17 08:16:01,1797,0,0
437,110,2024-05-17 08:17:01,1800,0,0
438,103,2024-05-17 08:18:01,1805,0,0
439,105,2024-05-17 08:19:01,1804,0,0
440,145,2024-05-17 08:20:01,1802,0,0
441,170,2024-05-17 08:21:01,1799,0,0
442,119,2024-05-17 08:22:01,1800,0,0
443,149,2024-05-17 08:23:01,1796,0,0
444,157,2024-05-17 08:24:01,1796,0,0
445,133,2024-05-17 08:25:01,1802,0,0
446,111,2024-05-17 08:26:01,1799,0,0
447,123,2024-05-17 08:27:01,1797,0,0
448,119,2024-05-17 08:28:01,1803,0,0
449,114,2024-05-17 08:29:01,1800,0,0
450,119,2024-05-17 08:30:01,1802,0,0
451,114,2024-05-17 08:31:01,1803,0,0
452,117,2024-05-17 08:32:01,1803,0,8
453,119,2024-05-17 08:33:01,1802,0,0
454,113,2024-05-17 08:34:01,1803,0,0
455,126,2024-05-17 08:35:01,1800,0,0
456,115,2024-05-17 08:36:01,1802,0,0
457,117,2024-05-17 08:37:01,1800,0,0
458,118,2024-05-17 08:38:01,1802,0,0
459,123,2024-05-17 08:39:01,1802,0,0
460,118,2024-05-17 08:40:01,1800,0,8
461,116,2024-05-17 08:41:01,1804,0,0
462,122,2024-05-17 08:42:01,1805,0,0
463,126,2024-05-17 08:43:01,1805,0,0
464,132,2024-05-17 08:44:01,1802,0,0
465,134,2024-05-17 08:45:01,1803,0,0
466,124,2024-05-17 08:46:01,1800,0,0
467,134,2024-05-17 08:47:01,1802,0,0
468,142,2024-05-17 08:48:01,1801,0,0
469,141,2024-05-17 08:49:01,1803,0,0
470,155,2024-05-17 08:50:01,1803,0,8
471,131,2024-05-17 08:51:01,1802,0,0
472,141,2024-05-17 08:52:01,1796,0,0
473,134,2024-05-17 08:53:01,1801,0,0
474,133,2024-05-17 08:54:01,1800,0,0
475,127,2024-05-17 08:55:01,1800,0,0
476,132,2024-05-17 08:56:01,1798,0,0
477,130,2024-05-17 08:57:01,1801,0,0
478,127,2024-05-17 08:58:01,1802,0,0
479,145,2024-05-17 08:59:01,1798,0,8
480,167,2024-05-17 10:00:01,1796,0,0
481,150,2024-05-17 10:01:01,1806,0,0
482,127,2024-05-17 10:02:01,1800,0,0
483,121,2024-05-17 10:03:01,1802,0,8
484,171,2024-05-17 10:04:01,1801,0,8
485,160,2024-05-17 10:05:01,1797,0,0
486,149,2024-05-17 10:06:01,1802,0,0
487,124,2024-05-17 10:07:01,1802,0,0
488,128,2024-05-17 10:08:01,1801,0,0
489,106,2024-05-17 10:09:01,1806,0,0
490,126,2024-05-17 10:10:01,1801,0,0
491,139,2024-05-17 10:11:01,1801,0,0
492,112,2024-05-17 10:12:01,1804,0,0
493,103,2024-05-17 10:13:01,1803,0,8
494,103,2024-05-17 10:14:01,1802,0,0
495,122,2024-05-17 10:15:01,1801,0,0
496,106,2024-05-17 10:16:01,1802,0,0
497,104,2024-05-17 10:17:01,1802,0,0
498,106,2024-05-17 10:18:01,1804,0,0
499,106,2024-05-17 10:19:01,1802,0,0
500,112,2024-05-17 10:20:01,1802,0,0
501,106,2024-05-17 10:21:01,1806,0,0
502,104,2024-05-17 10:22:01,1802,0,8
503,109,2024-05-17 10:23:01,1802,0,8
504,106,2024-05-17 10:24:01,1802,0,0
505,106,2024-05-17 10:25:01,1804,0,0
506,108,2024-05-17 10:26:01,1802,0,0
507,107,2024-05-17 10:27:01,1803,0,0
508,105,2024-05-17 10:28:01,1802,0,0
509,102,2024-05-17 10:29:01,1805,0,0
510,107,2024-05-17 10:30:01,1802,0,0
511,108,2024-05-17 10:31:01,1802,0,0
512,108,2024-05-17 10:32:01,1800,0,0
513,110,2024-05-17 10:33:01,1802,0,0
514,107,2024-05-17 10:34:01,1803,0,0
515,108,2024-05-17 10:35:01,1804,0,0
516,107,2024-05-17 10:36:01,1806,0,0
517,108,2024-05-17 10:37:01,1802,0,0
518,102,2024-05-17 10:38:01,1801,0,0
519,111,2024-05-17 10:39:01,1802,0,0
520,104,2024-05-17 10:40:01,1800,0,8
521,108,2024-05-17 10:41:01,1802,0,8
522,116,2024-05-17 10:42:01,1801,0,0
523,105,2024-05-17 10:43:01,1802,0,0
524,108,2024-05-17 10:44:01,1801,0,0
525,148,2024-05-17 10:45:01,1799,0,0
526,108,2024-05-17 10:46:01,1802,0,0
527,115,2024-05-17 10:47:01,1800,0,0
528,107,2024-05-17 10:48:01,1800,0,0
529,106,2024-05-17 10:49:01,1800,0,8
530,108,2024-05-17 10:50:01,1804,0,8
531,103,2024-05-17 10:51:01,1806,0,8
532,106,2024-05-17 10:52:01,1805,0,0
533,104,2024-05-17 10:53:01,1803,0,0
534,105,2024-05-17 10:54:01,1802,0,0
535,102,2024-05-17 10:55:01,1804,0,0
536,156,2024-05-17 10:56:01,1797,0,0
537,100,2024-05-17 10:57:01,1800,0,0
538,101,2024-05-17 10:58:01,1803,0,0
539,101,2024-05-17 10:59:01,1803,0,0
540,111,2024-05-17 11:00:01,1803,0,0
541,104,2024-05-17 11:01:01,1799,0,0
542,105,2024-05-17 11:02:01,1803,0,0
543,114,2024-05-17 11:03:01,1803,0,0
544,111,2024-05-17 11:04:01,1803,0,0
545,104,2024-05-17 11:05:01,1802,0,0
546,128,2024-05-17 11:06:01,1800,0,0
547,104,2024-05-17 11:07:01,1802,0,8
548,105,2024-05-17 11:08:01,1803,0,0
549,102,2024-05-17 11:09:01,1805,0,0
550,107,2024-05-17 11:10:01,1803,0,0
551,107,2024-05-17 11:11:01,1802,0,0
552,111,2024-05-17 11:12:01,1802,0,0
553,104,2024-05-17 11:13:01,1802,0,0
554,107,2024-05-17 11:14:01,1802,0,0
555,106,2024-05-17 11:15:01,1800,0,8
556,103,2024-05-17 11:16:01,1804,0,0
557,102,2024-05-17 11:17:01,1802,0,0
558,103,2024-05-17 11:18:01,1803,0,0
559,104,2024-05-17 11:19:01,1804,0,0
560,104,2024-05-17 11:20:01,1804,0,0
561,106,2024-05-17 11:21:01,1804,0,0
562,102,2024-05-17 11:22:01,1802,0,0
563,108,2024-05-17 11:23:01,1803,0,8
564,106,2024-05-17 11:24:01,1800,0,8
565,105,2024-05-17 11:25:01,1803,0,0
566,102,2024-05-17 11:26:01,1804,0,0
567,106,2024-05-17 11:27:01,1802,0,0
568,102,2024-05-17 11:28:01,1805,0,0
569,102,2024-05-17 11:29:01,1803,0,0
570,102,2024-05-17 11:30:01,1802,0,0
571,105,2024-05-17 11:31:01,1804,0,0
572,103,2024-05-17 11:32:01,1802,0,0
573,114,2024-05-17 11:33:01,1800,0,8
574,103,2024-05-17 11:34:01,1803,0,8
575,114,2024-05-17 11:35:01,1800,0,0
576,101,2024-05-17 11:36:01,1806,0,0
577,109,2024-05-17 11:37:01,1803,0,0
578,107,2024-05-17 11:38:01,1802,0,0
579,111,2024-05-17 11:39:01,1802,0,0
580,103,2024-05-17 11:40:01,1802,0,0
