index,13-2-11_v,13-2-10_v,13-2-13_v,13-2-12_v,13-2-6_v,13-2-5_v,13-2-4_v,13-2-3_v,13-2-2_v,13-2-1_v,13-2-0_v,13-2-9_v,13-2-8_v,csvTime,13-2-7_v
53,10,6007,0.0,2229,10,7,9.0,11,6971,6966,6961,95,10.0,2024-05-17 00:54:00,2
54,4,6008,0.0,1815,10,8,10.0,11,6972,6966,6961,96,10.0,2024-05-17 00:55:00,3
55,12,6008,0.0,2582,9,6,9.0,10,6972,6966,6960,96,10.0,2024-05-17 00:56:00,2
56,14,6007,0.0,2258,10,7,10.0,11,6971,6965,6960,96,10.0,2024-05-17 00:57:01,3
57,2,6007,0.0,1520,11,9,10.0,11,6969,6965,6960,96,11.0,2024-05-17 00:58:01,3
142570,3,6007,0.0,1843,10,8,9.0,10,6971,6966,6961,95,10.0,2024-05-17 01:00:02,3
142571,13,6006,0.0,2662,9,6,9.0,10,6971,6966,6960,96,10.0,2024-05-17 01:01:02,2
142572,9,6008,0.0,2127,10,7,10.0,11,6969,6963,6958,96,10.0,2024-05-17 01:02:03,2
142573,10,6008,0.0,1881,10,7,9.0,11,6971,6965,6959,95,10.0,2024-05-17 01:03:03,3
142574,11,6008,0.0,2733,9,6,9.0,10,6969,6964,6958,95,10.0,2024-05-17 01:04:04,2
142575,6,6007,0.0,2666,9,6,9.0,10,6972,6966,6960,95,10.0,2024-05-17 01:05:04,2
142576,5,6009,0.0,2227,10,7,9.0,11,6972,6967,6961,96,10.0,2024-05-17 01:06:05,2
142577,3,6008,0.0,2089,10,7,10.0,11,6973,6968,6963,96,10.0,2024-05-17 01:07:05,3
142578,5,6007,0.0,1815,10,8,10.0,11,6973,6967,6961,96,10.0,2024-05-17 01:08:05,2
142579,7,6007,0.0,1649,11,9,11.0,12,6974,6964,6958,96,12.0,2024-05-17 01:09:06,3
142580,11,6007,0.0,2440,9,6,9.0,10,6974,6967,6961,95,10.0,2024-05-17 01:10:06,2
142581,9,6008,0.0,2628,9,6,9.0,10,6972,6967,6961,95,10.0,2024-05-17 01:11:06,2
142582,12,6009,0.0,2627,9,6,9.0,10,6974,6968,6962,96,10.0,2024-05-17 01:12:07,2
142583,11,6009,0.0,1046,13,11,13.0,14,6973,6967,6961,96,13.0,2024-05-17 01:13:08,3
142584,6,6011,0.0,2793,9,6,9.0,10,6969,6964,6958,96,10.0,2024-05-17 01:14:08,2
142585,5,6009,0.0,2772,9,6,9.0,10,6972,6966,6961,95,10.0,2024-05-17 01:15:08,2
142586,14,6010,0.0,1741,10,8,10.0,11,6972,6966,6960,95,10.0,2024-05-17 01:16:09,3
142587,11,6007,0.0,2620,9,6,9.0,10,6972,6966,6960,95,10.0,2024-05-17 01:17:09,2
142588,14,6009,0.0,2754,9,6,9.0,10,6970,6964,6959,95,10.0,2024-05-17 01:18:09,2
142589,13,6008,0.0,365,13,12,13.0,13,6971,6965,6960,96,13.0,2024-05-17 01:19:10,3
142590,15,6007,0.0,1976,10,7,9.0,11,6972,6965,6959,96,10.0,2024-05-17 01:20:10,3
142591,13,6009,0.0,2089,10,7,9.0,11,6972,6965,6959,95,10.0,2024-05-17 01:21:10,2
142592,5,6008,0.0,1368,10,8,9.0,10,6970,6964,6958,95,11.0,2024-05-17 01:22:11,3
142593,11,6008,0.0,1343,11,10,11.0,12,6970,6964,6959,96,11.0,2024-05-17 01:23:11,3
142594,12,6009,0.0,2581,9,6,9.0,10,6973,6967,6962,95,10.0,2024-05-17 01:24:11,2
142595,10,6007,0.0,1368,11,9,11.0,13,6971,6964,6958,96,11.0,2024-05-17 01:25:12,3
142596,2,6008,0.0,2773,9,6,9.0,10,6971,6965,6960,95,10.0,2024-05-17 01:26:12,2
142597,12,6009,0.0,2298,10,7,9.0,10,6972,6966,6961,95,10.0,2024-05-17 01:27:12,2
142598,10,6008,0.0,2229,9,7,9.0,10,6972,6966,6960,95,10.0,2024-05-17 01:28:12,2
142599,3,6009,0.0,1987,10,7,9.0,10,6970,6965,6960,96,10.0,2024-05-17 01:29:12,2
142600,9,6010,0.0,1918,10,7,9.0,10,6972,6966,6960,96,10.0,2024-05-17 01:30:13,2
142601,8,6009,0.0,2026,10,8,10.0,12,6973,6967,6961,96,11.0,2024-05-17 01:31:13,3
142602,11,6011,0.0,2177,9,7,9.0,10,6971,6966,6960,95,10.0,2024-05-17 01:32:14,2
142603,7,6009,0.0,1571,10,9,10.0,11,6971,6966,6961,96,11.0,2024-05-17 01:33:14,3
142604,11,6009,0.0,1376,11,9,11.0,13,6971,6966,6960,96,11.0,2024-05-17 01:34:14,3
142605,5,6009,0.0,2762,9,6,9.0,10,6972,6967,6961,96,10.0,2024-05-17 01:35:15,2
142606,12,6010,0.0,2687,9,6,9.0,10,6972,6966,6960,96,10.0,2024-05-17 01:36:15,2
142607,11,6009,0.0,2691,9,6,9.0,10,6972,6966,6961,95,10.0,2024-05-17 01:37:15,2
142608,14,6010,0.0,1777,9,7,9.0,10,6970,6965,6959,96,10.0,2024-05-17 01:38:16,3
142609,15,6010,0.0,1117,12,9,11.0,12,6970,6964,6958,96,12.0,2024-05-17 01:39:16,3
142610,8,6011,0.0,1677,10,8,10.0,11,6973,6966,6960,96,10.0,2024-05-17 01:40:16,3
142611,14,6011,0.0,1261,11,10,11.0,12,6974,6968,6961,96,11.0,2024-05-17 01:41:17,3
142612,5,6011,0.0,2393,9,6,9.0,10,6973,6967,6962,95,10.0,2024-05-17 01:42:17,2
142613,4,6011,0.0,2726,9,6,9.0,10,6974,6968,6961,96,10.0,2024-05-17 01:43:18,2
142614,15,6011,0.0,1818,10,7,10.0,11,6973,6967,6961,96,11.0,2024-05-17 01:44:18,3
142615,4,6010,0.0,1918,10,8,10.0,11,6972,6966,6960,96,11.0,2024-05-17 01:45:19,3
142616,15,6011,0.0,2654,9,6,9.0,10,6974,6967,6961,95,10.0,2024-05-17 01:46:19,2
142617,4,6010,0.0,2858,9,6,9.0,10,6973,6967,6962,96,10.0,2024-05-17 01:47:19,2
142618,14,6010,0.0,2733,9,6,9.0,10,6973,6967,6961,96,10.0,2024-05-17 01:48:19,2
142619,7,6010,0.0,1767,10,8,10.0,11,6972,6967,6961,95,10.0,2024-05-17 01:49:20,3
142620,6,6012,0.0,1366,11,9,11.0,12,6970,6964,6959,96,11.0,2024-05-17 01:50:20,3
142621,9,6010,0.0,2561,9,6,9.0,10,6972,6967,6962,95,10.0,2024-05-17 01:51:20,2
142622,4,6010,0.0,1627,11,9,11.0,12,6971,6966,6960,95,11.0,2024-05-17 01:52:21,3
142623,10,6010,0.0,2804,9,6,9.0,10,6971,6965,6960,96,10.0,2024-05-17 01:53:21,2
142624,5,6009,0.0,2435,10,7,9.0,10,6970,6965,6960,96,10.0,2024-05-17 01:54:21,2
142625,3,6009,0.0,2674,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 01:55:22,2
142626,13,6009,0.0,2547,10,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 01:56:22,2
142627,5,6009,0.0,1825,10,7,9.0,10,6970,6966,6961,96,10.0,2024-05-17 01:57:22,2
142628,3,6008,0.0,2779,9,6,9.0,10,6971,6966,6962,95,10.0,2024-05-17 01:58:22,2
58,6,6008,0.0,2761,9,6,9.0,10,6970,6965,6961,96,10.0,2024-05-17 02:00:23,2
59,3,6007,0.0,2750,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 02:01:23,2
60,3,6008,0.0,2373,10,6,9.0,10,6969,6964,6960,96,10.0,2024-05-17 02:02:23,2
61,11,6008,0.0,2531,9,6,9.0,10,6970,6965,6960,95,10.0,2024-05-17 02:03:23,2
62,12,6008,0.0,2512,9,6,9.0,10,6969,6964,6959,95,10.0,2024-05-17 02:04:24,2
63,13,6006,0.0,1838,10,8,10.0,11,6970,6965,6959,96,11.0,2024-05-17 02:05:24,3
64,3,6007,0.0,2507,9,6,9.0,10,6969,6964,6959,95,10.0,2024-05-17 02:06:24,2
65,8,6008,0.0,2310,10,7,10.0,11,6969,6964,6959,95,10.0,2024-05-17 02:07:24,3
66,10,6007,0.0,2821,9,6,9.0,10,6970,6965,6960,95,10.0,2024-05-17 02:08:25,2
67,14,6009,0.0,2795,9,6,9.0,10,6971,6965,6960,96,10.0,2024-05-17 02:09:25,2
68,12,6009,0.0,2348,9,6,9.0,10,6970,6965,6959,96,10.0,2024-05-17 02:10:25,2
69,4,6008,0.0,2702,9,6,9.0,10,6972,6967,6961,96,10.0,2024-05-17 02:11:25,2
70,12,6009,0.0,2735,9,6,9.0,10,6971,6965,6960,96,10.0,2024-05-17 02:12:25,2
71,8,6010,0.0,2816,9,6,9.0,10,6970,6965,6961,96,10.0,2024-05-17 02:13:25,2
72,5,6010,0.0,2783,9,6,9.0,10,6970,6964,6959,96,10.0,2024-05-17 02:14:25,2
73,13,6008,0.0,2723,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 02:15:25,2
74,13,6008,0.0,2726,9,6,9.0,10,6972,6967,6961,96,10.0,2024-05-17 02:16:26,2
75,5,6012,0.0,2332,10,7,10.0,12,6973,6967,6962,96,11.0,2024-05-17 02:17:26,2
76,10,6009,0.0,2781,9,6,9.0,10,6973,6968,6962,96,10.0,2024-05-17 02:18:27,2
77,14,6011,0.0,2624,9,6,9.0,10,6973,6967,6960,96,10.0,2024-05-17 02:19:27,2
78,11,6010,0.0,1095,13,12,13.0,15,6972,6966,6961,96,14.0,2024-05-17 02:20:27,3
79,15,6011,0.0,1722,10,8,10.0,12,6974,6967,6961,96,11.0,2024-05-17 02:21:28,3
80,12,6010,0.0,1721,11,9,11.0,13,6972,6966,6961,96,11.0,2024-05-17 02:22:28,3
81,11,6010,0.0,2156,10,7,9.0,11,6973,6967,6961,96,10.0,2024-05-17 02:23:29,2
82,2,6011,0.0,2327,9,7,9.0,10,6974,6969,6964,95,10.0,2024-05-17 02:24:29,3
83,8,6011,0.0,2841,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 02:25:30,2
84,13,6010,0.0,2332,10,7,9.0,10,6970,6965,6960,95,10.0,2024-05-17 02:26:30,2
85,0,6010,0.0,2245,9,7,9.0,10,6969,6965,6960,95,10.0,2024-05-17 02:27:31,2
86,3,6011,0.0,2773,9,6,9.0,10,6970,6964,6959,95,10.0,2024-05-17 02:28:31,2
87,4,6009,0.0,451,13,13,14.0,14,6970,6965,6959,96,13.0,2024-05-17 02:29:31,3
88,12,6011,0.0,1550,10,9,10.0,11,6971,6966,6960,95,10.0,2024-05-17 02:30:31,3
89,12,6012,0.0,2767,9,6,9.0,10,6971,6965,6960,95,10.0,2024-05-17 02:31:32,2
90,6,6012,0.0,1775,11,9,11.0,12,6969,6964,6959,96,12.0,2024-05-17 02:32:32,3
91,11,6011,0.0,1726,11,9,11.0,13,6972,6967,6962,96,11.0,2024-05-17 02:33:33,3
92,6,6010,0.0,2822,9,6,9.0,10,6970,6966,6961,95,10.0,2024-05-17 02:34:33,2
93,3,6010,0.0,1463,11,9,10.0,11,6971,6966,6961,96,11.0,2024-05-17 02:35:33,3
94,2,6011,0.0,1909,10,7,9.0,10,6969,6965,6961,95,10.0,2024-05-17 02:36:33,2
95,4,6013,0.0,2743,9,6,9.0,10,6976,6971,6966,95,10.0,2024-05-17 02:37:34,2
96,4,6011,0.0,1183,10,8,10.0,11,6972,6966,6961,96,11.0,2024-05-17 02:38:34,3
97,14,6012,0.0,2819,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 02:39:34,2
98,12,6011,0.0,2242,10,8,10.0,11,6970,6964,6959,95,10.0,2024-05-17 02:40:34,3
99,9,6010,0.0,2063,10,7,9.0,11,6971,6966,6960,96,10.0,2024-05-17 02:41:34,2
100,14,6010,0.0,2496,10,6,9.0,10,6968,6963,6957,96,10.0,2024-05-17 02:42:34,2
101,12,6010,0.0,1320,11,10,12.0,13,6969,6964,6959,96,12.0,2024-05-17 02:43:34,3
102,8,6010,0.0,2696,10,6,9.0,10,6969,6964,6960,96,10.0,2024-05-17 02:44:35,2
103,3,6009,0.0,1753,11,9,11.0,12,6970,6965,6960,96,11.0,2024-05-17 02:45:35,3
104,4,6009,0.0,1867,11,9,11.0,12,6968,6963,6958,96,11.0,2024-05-17 02:46:35,3
105,6,6009,0.0,1661,11,7,10.0,11,6971,6965,6959,95,11.0,2024-05-17 02:47:36,3
106,12,6009,0.0,1900,10,8,9.0,11,6971,6965,6959,95,10.0,2024-05-17 02:48:36,3
107,8,6009,0.0,2342,9,7,9.0,10,6971,6966,6960,95,10.0,2024-05-17 02:49:37,2
108,2,6008,0.0,1424,10,8,10.0,11,6969,6964,6959,96,11.0,2024-05-17 02:50:37,3
109,6,6010,0.0,2755,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 02:51:37,2
110,6,6010,0.0,1881,10,8,10.0,11,6973,6968,6962,95,10.0,2024-05-17 02:52:37,3
111,4,6010,0.0,2805,9,6,9.0,10,6974,6968,6963,95,10.0,2024-05-17 02:53:38,2
112,13,6010,0.0,2575,10,6,9.0,10,6972,6966,6960,95,10.0,2024-05-17 02:54:38,2
113,4,6011,0.0,1869,10,8,10.0,11,6974,6969,6963,96,11.0,2024-05-17 02:55:38,3
114,6,6010,0.0,1766,10,7,9.0,10,6973,6967,6961,95,10.0,2024-05-17 02:56:39,3
115,5,6010,0.0,2080,9,7,9.0,10,6972,6966,6960,95,9.0,2024-05-17 02:57:39,3
116,15,6010,0.0,2767,9,6,9.0,10,6973,6966,6960,95,10.0,2024-05-17 02:58:39,2
117,8,6011,0.0,2171,10,7,9.0,11,6971,6965,6959,96,10.0,2024-05-17 03:00:40,2
118,7,6010,0.0,2384,11,8,10.0,11,6972,6966,6959,95,11.0,2024-05-17 03:01:40,3
119,5,6009,0.0,2522,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 03:02:40,2
120,5,6007,0.0,2125,10,7,9.0,10,6971,6965,6960,95,10.0,2024-05-17 03:03:41,2
121,3,6005,0.0,1721,10,8,9.0,10,6970,6966,6961,95,10.0,2024-05-17 03:04:41,3
122,8,6005,0.0,2268,10,7,10.0,11,6971,6965,6960,96,10.0,2024-05-17 03:05:41,2
123,14,6006,0.0,1496,10,8,9.0,10,6970,6964,6958,95,10.0,2024-05-17 03:06:41,3
124,12,6005,0.0,2768,9,6,9.0,10,6971,6965,6959,95,10.0,2024-05-17 03:07:42,2
125,9,6005,0.0,1724,11,9,11.0,12,6972,6966,6960,96,11.0,2024-05-17 03:08:42,3
126,10,6005,0.0,1780,10,8,9.0,10,6972,6966,6961,95,10.0,2024-05-17 03:09:43,3
127,4,6004,0.0,1531,11,9,10.0,12,6972,6966,6961,96,11.0,2024-05-17 03:10:43,3
128,8,6005,0.0,1511,11,9,10.0,12,6971,6965,6959,95,11.0,2024-05-17 03:11:44,3
129,4,6004,0.0,2751,9,6,9.0,10,6970,6964,6959,96,10.0,2024-05-17 03:12:44,2
130,6,6003,0.0,1989,10,6,9.0,10,6969,6963,6958,95,10.0,2024-05-17 03:13:44,2
131,9,6002,0.0,2619,9,6,9.0,10,6972,6966,6961,95,10.0,2024-05-17 03:14:46,2
132,14,6004,0.0,985,10,10,10.0,11,6972,6966,6960,95,10.0,2024-05-17 03:15:46,3
133,13,6003,0.0,1316,10,9,10.0,11,6973,6967,6961,95,11.0,2024-05-17 03:16:47,3
134,12,6005,0.0,2149,9,7,9.0,10,6971,6965,6959,95,9.0,2024-05-17 03:17:47,3
135,10,6004,0.0,1442,10,9,10.0,11,6970,6965,6960,96,11.0,2024-05-17 03:18:47,3
136,4,6003,0.0,2743,9,6,9.0,10,6970,6965,6960,95,10.0,2024-05-17 03:19:48,2
137,6,6004,0.0,2398,10,6,9.0,10,6972,6967,6961,95,10.0,2024-05-17 03:20:48,2
138,14,6003,0.0,2054,10,8,10.0,11,6973,6967,6961,95,10.0,2024-05-17 03:21:49,3
139,14,6004,0.0,1085,11,10,11.0,12,6972,6965,6959,95,11.0,2024-05-17 03:22:49,3
140,3,6003,0.0,2617,9,6,9.0,10,6969,6964,6959,96,10.0,2024-05-17 03:23:49,2
141,6,6003,0.0,2713,9,6,9.0,10,6971,6966,6960,95,10.0,2024-05-17 03:24:50,2
142,10,6003,0.0,1872,10,8,10.0,11,6971,6965,6960,95,10.0,2024-05-17 03:25:50,3
143,11,6004,0.0,1447,11,10,11.0,12,6972,6966,6960,96,11.0,2024-05-17 03:26:50,3
144,5,6004,0.0,2025,9,7,9.0,10,6971,6965,6959,95,9.0,2024-05-17 03:27:50,3
145,6,6004,0.0,2602,9,6,9.0,10,6971,6965,6959,95,10.0,2024-05-17 03:28:51,2
146,8,6006,0.0,2720,9,6,9.0,10,6972,6967,6961,95,10.0,2024-05-17 03:29:51,2
147,15,6004,0.0,1992,10,7,9.0,10,6973,6967,6961,96,10.0,2024-05-17 03:30:52,2
148,10,6005,0.0,1410,10,9,11.0,12,6973,6968,6962,96,11.0,2024-05-17 03:31:52,3
149,7,6006,0.0,2035,9,7,9.0,10,6972,6967,6961,95,10.0,2024-05-17 03:32:52,2
150,13,6004,0.0,1619,9,7,9.0,10,6974,6968,6961,95,10.0,2024-05-17 03:33:52,3
151,10,6005,0.0,2299,9,7,9.0,10,6972,6966,6960,95,10.0,2024-05-17 03:34:53,2
152,7,6006,0.0,1791,10,7,9.0,10,6973,6967,6962,95,10.0,2024-05-17 03:35:53,2
153,4,6007,0.0,2224,9,6,9.0,10,6972,6967,6961,96,10.0,2024-05-17 03:36:53,2
154,6,6008,0.0,2498,9,6,9.0,10,6971,6966,6960,95,9.0,2024-05-17 03:37:54,3
155,4,6007,0.0,2620,9,6,9.0,10,6973,6968,6962,96,10.0,2024-05-17 03:38:54,2
156,12,6009,0.0,2045,10,8,10.0,11,6972,6967,6961,95,10.0,2024-05-17 03:39:55,3
157,5,6008,0.0,2435,9,6,9.0,10,6971,6965,6960,95,10.0,2024-05-17 03:40:55,2
158,12,6009,0.0,1829,10,8,10.0,11,6970,6965,6959,96,10.0,2024-05-17 03:41:55,3
159,14,6008,0.0,1268,11,9,10.0,11,6972,6966,6960,96,11.0,2024-05-17 03:42:55,3
160,3,6009,0.0,2273,10,7,9.0,11,6970,6965,6960,95,10.0,2024-05-17 03:43:55,3
161,13,6010,0.0,2629,9,6,9.0,10,6970,6964,6959,95,10.0,2024-05-17 03:44:56,2
162,10,6010,0.0,1244,11,9,11.0,12,6972,6966,6961,96,11.0,2024-05-17 03:45:56,3
163,3,6011,0.0,2705,9,6,9.0,10,6971,6966,6960,95,10.0,2024-05-17 03:46:56,2
164,9,6011,0.0,2502,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 03:47:57,2
165,3,6011,0.0,1971,10,7,10.0,11,6970,6965,6960,96,10.0,2024-05-17 03:48:57,3
166,8,6009,0.0,1750,12,9,12.0,13,6970,6966,6961,96,12.0,2024-05-17 03:49:57,3
167,3,6010,0.0,1094,10,9,10.0,11,6972,6967,6961,95,11.0,2024-05-17 03:50:58,3
168,5,6010,0.0,1826,10,8,9.0,11,6970,6965,6960,96,10.0,2024-05-17 03:51:58,3
169,6,6010,0.0,2124,10,7,9.0,10,6970,6965,6961,96,10.0,2024-05-17 03:52:59,2
170,2,6010,0.0,2517,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 03:53:59,2
171,11,6010,0.0,2287,9,6,9.0,10,6972,6966,6960,96,10.0,2024-05-17 03:54:59,2
172,12,6011,0.0,2109,10,8,10.0,12,6970,6964,6959,95,11.0,2024-05-17 03:56:00,3
173,3,6012,0.0,2859,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 03:57:00,2
174,11,6010,0.0,2786,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 03:58:00,2
175,14,6011,0.0,2642,9,6,9.0,10,6970,6964,6958,95,10.0,2024-05-17 04:00:01,2
176,10,6010,0.0,2587,9,6,9.0,10,6973,6967,6962,96,10.0,2024-05-17 04:01:01,2
177,12,6010,0.0,2635,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 04:02:01,2
178,6,6012,0.0,2159,10,7,9.0,10,6975,6970,6966,96,10.0,2024-05-17 04:03:02,2
179,3,6011,0.0,2503,9,6,9.0,10,6974,6969,6965,95,10.0,2024-05-17 04:04:02,2
180,9,6011,0.0,1771,10,8,10.0,11,6974,6969,6963,95,10.0,2024-05-17 04:05:03,3
181,12,6010,0.0,1576,10,8,10.0,11,6974,6969,6964,96,10.0,2024-05-17 04:06:03,3
182,10,6009,0.0,1505,9,8,9.0,10,6974,6969,6965,96,10.0,2024-05-17 04:07:03,3
183,12,6010,0.0,1488,11,9,11.0,12,6973,6969,6964,96,11.0,2024-05-17 04:08:03,3
184,12,6009,0.0,2711,9,6,9.0,10,6973,6968,6963,96,10.0,2024-05-17 04:09:04,2
185,4,6008,0.0,2718,9,6,9.0,10,6972,6968,6963,95,10.0,2024-05-17 04:10:04,2
186,3,6008,0.0,1326,10,9,10.0,11,6972,6968,6963,96,11.0,2024-05-17 04:11:04,3
187,10,6008,0.0,2017,10,7,9.0,10,6973,6968,6962,96,10.0,2024-05-17 04:12:05,2
188,3,6004,0.0,1917,10,7,9.0,10,6971,6966,6961,96,10.0,2024-05-17 04:13:05,2
189,13,6004,0.0,2671,9,6,9.0,10,6971,6966,6961,96,10.0,2024-05-17 04:14:05,2
190,9,6005,0.0,2349,9,6,9.0,10,6967,6962,6956,96,10.0,2024-05-17 04:15:06,2
191,10,6004,0.0,2800,9,6,8.0,10,6971,6965,6960,95,9.0,2024-05-17 04:16:06,2
192,5,6004,0.0,2693,9,6,9.0,10,6970,6965,6960,96,10.0,2024-05-17 04:17:06,2
193,11,6005,0.0,1613,10,8,10.0,11,6971,6965,6959,96,11.0,2024-05-17 04:18:06,3
