,P3_22,P3_21,P3_20,P3_19,csvTime
186,28,28,2,0,2024-05-16 19:06:02
187,28,28,2,0,2024-05-16 19:07:02
188,36,36,2,2,2024-05-16 19:08:02
189,32,29,-841,-540,2024-05-16 19:09:02
190,18,19,890,900,2024-05-16 19:10:02
191,23,26,895,898,2024-05-16 19:11:02
192,21,23,125,0,2024-05-16 19:12:02
193,22,23,2,2,2024-05-16 19:13:02
194,26,27,2,2,2024-05-16 19:14:02
195,35,35,2,0,2024-05-16 19:15:02
196,34,35,2,0,2024-05-16 19:16:02
197,22,23,2,0,2024-05-16 19:17:02
198,22,23,2,0,2024-05-16 19:18:02
199,22,23,-106,-110,2024-05-16 19:19:02
200,16,17,93,128,2024-05-16 19:20:02
201,16,17,145,118,2024-05-16 19:21:02
202,16,17,4,133,2024-05-16 19:22:02
203,16,17,-148,-167,2024-05-16 19:23:02
204,16,17,-340,-344,2024-05-16 19:24:02
205,16,17,-340,-344,2024-05-16 19:25:02
206,16,17,-340,-344,2024-05-16 19:26:02
207,16,17,0,0,2024-05-16 19:27:02
208,16,17,-1,0,2024-05-16 19:28:02
209,26,27,0,0,2024-05-16 19:29:02
210,26,27,0,2,2024-05-16 19:30:02
211,31,32,-904,-905,2024-05-16 19:31:02
212,22,23,-906,-909,2024-05-16 19:32:02
213,12,13,-6,-4,2024-05-16 19:33:02
214,50,50,-6,-4,2024-05-16 19:34:02
215,50,50,895,898,2024-05-16 19:35:02
216,50,51,-22,-61,2024-05-16 19:36:02
217,1,0,-8,-4,2024-05-16 19:37:02
218,1,0,-6,-4,2024-05-16 19:38:02
219,27,35,-637,-640,2024-05-16 19:39:02
220,30,29,-357,-355,2024-05-16 19:40:02
221,28,29,-357,-355,2024-05-16 19:41:02
222,1,0,-6,-2,2024-05-16 19:42:02
223,26,27,895,900,2024-05-16 19:43:02
224,8,13,252,0,2024-05-16 19:44:02
225,17,18,2,0,2024-05-16 19:45:02
226,25,25,-340,-344,2024-05-16 19:46:02
227,1,0,287,898,2024-05-16 19:47:02
228,39,40,-288,-354,2024-05-16 19:48:02
229,42,42,-25,-4,2024-05-16 19:49:02
230,39,40,895,898,2024-05-16 19:50:02
231,26,27,-30,208,2024-05-16 19:51:02
232,7,8,3,-2,2024-05-16 19:52:02
233,24,25,16,32,2024-05-16 19:53:02
234,29,30,-280,-327,2024-05-16 19:54:02
235,26,27,-136,-151,2024-05-16 19:55:02
236,21,21,-30,-41,2024-05-16 19:56:02
237,19,19,-96,-108,2024-05-16 19:57:02
238,17,18,-136,-110,2024-05-16 19:58:02
239,17,18,-228,-247,2024-05-16 19:59:02
240,17,18,-340,-344,2024-05-16 20:00:02
241,24,25,-340,-344,2024-05-16 20:01:02
242,24,25,-59,-56,2024-05-16 20:02:02
243,24,25,5,-55,2024-05-16 20:03:02
244,24,25,-177,-182,2024-05-16 20:04:02
245,24,25,-131,-113,2024-05-16 20:05:02
246,24,25,-75,-91,2024-05-16 20:06:02
247,24,25,-307,-337,2024-05-16 20:07:02
248,24,25,-342,-344,2024-05-16 20:08:02
249,24,25,-342,-344,2024-05-16 20:09:02
250,24,25,-344,-344,2024-05-16 20:10:02
251,24,25,-221,-217,2024-05-16 20:11:02
252,24,25,-150,-193,2024-05-16 20:12:02
253,24,25,-212,-167,2024-05-16 20:13:02
254,24,25,-116,-170,2024-05-16 20:14:02
255,24,25,-40,-65,2024-05-16 20:15:02
256,24,25,-340,-344,2024-05-16 20:16:02
257,24,25,-340,-344,2024-05-16 20:17:02
258,1,0,894,898,2024-05-16 20:18:02
259,1,0,895,898,2024-05-16 20:19:02
260,1,0,895,898,2024-05-16 20:20:02
261,21,39,895,898,2024-05-16 20:21:02
262,1,0,895,898,2024-05-16 20:22:02
263,1,0,895,898,2024-05-16 20:23:02
264,27,27,-121,-133,2024-05-16 20:24:02
265,29,30,-340,-344,2024-05-16 20:25:02
266,25,25,-329,-344,2024-05-16 20:26:02
267,24,25,-342,-344,2024-05-16 20:27:02
268,25,27,-342,-344,2024-05-16 20:28:02
269,27,28,-10,49,2024-05-16 20:29:02
270,28,28,237,192,2024-05-16 20:30:02
271,28,28,-91,-103,2024-05-16 20:31:02
272,28,28,2,16,2024-05-16 20:32:02
273,28,28,297,316,2024-05-16 20:33:02
274,28,28,-45,-110,2024-05-16 20:34:02
275,27,28,-156,-83,2024-05-16 20:35:02
276,28,28,-54,-35,2024-05-16 20:36:02
277,28,28,-177,-212,2024-05-16 20:37:02
278,20,20,11,37,2024-05-16 20:38:02
279,20,21,53,40,2024-05-16 20:39:02
280,20,21,13,-6,2024-05-16 20:40:02
281,20,21,-113,-110,2024-05-16 20:41:02
282,20,20,183,146,2024-05-16 20:42:02
283,20,21,-340,-344,2024-05-16 20:43:02
284,20,20,-340,-344,2024-05-16 20:44:02
285,24,25,-340,-344,2024-05-16 20:45:02
286,24,25,-340,-344,2024-05-16 20:46:02
287,24,25,-340,-344,2024-05-16 20:47:02
288,24,25,-340,-344,2024-05-16 20:48:02
289,1,0,895,900,2024-05-16 20:49:02
290,1,0,895,895,2024-05-16 20:50:02
291,1,0,895,898,2024-05-16 20:51:02
292,22,22,30,0,2024-05-16 20:52:02
293,22,23,-329,-301,2024-05-16 20:53:02
294,23,24,-271,-308,2024-05-16 20:54:02
295,23,24,-146,-131,2024-05-16 20:55:02
296,23,24,130,113,2024-05-16 20:56:02
297,23,24,30,64,2024-05-16 20:57:02
298,16,17,-101,-103,2024-05-16 20:58:02
299,16,17,-210,-182,2024-05-16 20:59:02
300,26,27,-344,-344,2024-05-16 22:00:02
301,26,27,130,155,2024-05-16 22:01:02
302,10,11,339,342,2024-05-16 22:02:02
303,10,11,340,342,2024-05-16 22:03:02
304,25,25,339,342,2024-05-16 22:04:02
305,25,26,340,342,2024-05-16 22:05:02
306,13,14,76,121,2024-05-16 22:06:02
307,22,23,-233,-300,2024-05-16 22:07:02
308,26,27,-166,-167,2024-05-16 22:08:02
309,26,27,-128,-126,2024-05-16 22:09:02
310,11,11,-118,-95,2024-05-16 22:10:02
311,10,11,-340,-344,2024-05-16 22:11:02
312,11,11,-340,-344,2024-05-16 22:12:02
313,11,11,-340,-344,2024-05-16 22:13:02
314,20,22,-141,0,2024-05-16 22:14:02
315,1,0,895,898,2024-05-16 22:15:02
316,1,0,895,898,2024-05-16 22:16:02
317,1,0,875,898,2024-05-16 22:17:02
318,1,0,904,900,2024-05-16 22:18:02
319,32,33,13,0,2024-05-16 22:19:02
320,21,22,3,2,2024-05-16 22:20:02
321,31,31,602,602,2024-05-16 22:21:02
322,45,45,4,0,2024-05-16 22:22:02
323,18,19,2,2,2024-05-16 22:23:02
324,26,0,895,898,2024-05-16 22:24:02
325,1,0,895,900,2024-05-16 22:25:02
326,1,0,896,898,2024-05-16 22:26:02
327,56,58,895,898,2024-05-16 22:27:02
328,33,28,25,614,2024-05-16 22:28:02
329,16,18,372,575,2024-05-16 22:29:02
330,31,31,705,575,2024-05-16 22:30:02
331,22,23,2,0,2024-05-16 22:31:02
332,26,27,-242,-267,2024-05-16 22:32:02
333,26,27,-79,-46,2024-05-16 22:33:02
334,22,23,136,145,2024-05-16 22:34:02
335,19,20,-268,-295,2024-05-16 22:35:02
336,1,0,-2,0,2024-05-16 22:36:02
337,1,0,-2,0,2024-05-16 22:37:02
338,1,0,-2,2,2024-05-16 22:38:02
339,20,22,-2,-2,2024-05-16 22:39:02
340,19,20,-248,-233,2024-05-16 22:40:02
341,19,20,-340,-344,2024-05-16 22:41:02
342,24,25,-340,-344,2024-05-16 22:42:02
343,20,21,-308,-318,2024-05-16 22:43:02
344,21,21,-30,-37,2024-05-16 22:44:02
345,20,21,-138,-167,2024-05-16 22:45:02
346,21,21,-207,-243,2024-05-16 22:46:02
347,21,21,156,126,2024-05-16 22:47:02
348,22,22,8,5,2024-05-16 22:48:02
349,21,22,-237,-237,2024-05-16 22:49:02
350,10,11,-300,-248,2024-05-16 22:50:02
351,10,11,-344,-344,2024-05-16 22:51:02
352,17,17,-344,-344,2024-05-16 22:52:02
353,28,29,-116,-53,2024-05-16 22:53:02
354,31,32,290,312,2024-05-16 22:54:02
355,21,22,156,128,2024-05-16 22:55:02
356,21,22,-192,-177,2024-05-16 22:56:02
357,21,22,-342,-344,2024-05-16 22:57:02
358,16,17,-276,-276,2024-05-16 22:58:02
359,22,23,-283,-268,2024-05-16 22:59:02
360,31,31,60,83,2024-05-16 23:00:02
361,27,26,-11,22,2024-05-16 23:01:02
362,24,25,198,0,2024-05-16 23:02:02
363,29,30,2,0,2024-05-16 23:03:02
364,29,30,2,0,2024-05-16 23:04:02
365,9,0,0,-2,2024-05-16 23:05:02
366,1,0,-2,-4,2024-05-16 23:06:02
367,1,0,-2,-4,2024-05-16 23:07:02
368,36,40,894,898,2024-05-16 23:08:02
369,21,0,895,898,2024-05-16 23:09:02
370,45,46,895,900,2024-05-16 23:10:02
371,51,51,2,0,2024-05-16 23:11:02
372,51,51,2,-2,2024-05-16 23:12:02
373,51,51,2,0,2024-05-16 23:13:02
374,34,34,2,0,2024-05-16 23:14:02
375,34,34,2,2,2024-05-16 23:15:02
376,1,0,903,906,2024-05-16 23:16:02
377,31,0,2,693,2024-05-16 23:17:02
378,1,0,0,-2,2024-05-16 23:18:02
379,1,0,-2,-2,2024-05-16 23:19:02
380,1,0,-2,-2,2024-05-16 23:20:02
381,1,0,-2,-2,2024-05-16 23:21:02
382,1,0,-2,-2,2024-05-16 23:22:02
383,1,0,-2,-2,2024-05-16 23:23:02
384,1,0,-2,-2,2024-05-16 23:24:02
385,1,0,-2,-2,2024-05-16 23:25:02
386,1,0,-2,-2,2024-05-16 23:26:02
387,15,16,-2,-2,2024-05-16 23:27:02
388,18,19,-2,-2,2024-05-16 23:28:02
389,18,19,-2,0,2024-05-16 23:29:02
390,29,29,-2,-5,2024-05-16 23:30:02
391,1,0,-2,-2,2024-05-16 23:31:02
392,1,0,-1,825,2024-05-16 23:32:02
393,18,0,905,909,2024-05-16 23:33:02
394,43,44,905,906,2024-05-16 23:34:02
395,47,48,905,909,2024-05-16 23:35:02
396,52,52,905,906,2024-05-16 23:36:02
397,17,17,30,-1,2024-05-16 23:37:02
398,22,25,340,342,2024-05-16 23:38:02
399,33,34,860,898,2024-05-16 23:39:02
400,35,36,895,898,2024-05-16 23:40:02
401,42,42,895,898,2024-05-16 23:41:02
402,1,0,3,0,2024-05-16 23:42:02
403,25,26,-340,-344,2024-05-16 23:43:02
404,29,30,-4,0,2024-05-16 23:44:02
405,22,23,-1,0,2024-05-16 23:45:02
406,25,25,-1,-2,2024-05-16 23:46:02
407,28,28,-2,0,2024-05-16 23:47:02
408,31,31,-2,0,2024-05-16 23:48:02
409,31,31,-2,-2,2024-05-16 23:49:02
410,34,35,-1,-4,2024-05-16 23:50:02
411,31,31,-490,-517,2024-05-16 23:51:02
412,31,25,-517,-4,2024-05-16 23:52:02
413,34,35,-30,-35,2024-05-16 23:53:02
414,29,29,73,81,2024-05-16 23:54:02
415,24,25,-74,-120,2024-05-16 23:55:02
416,18,19,17,60,2024-05-16 23:56:02
417,19,20,-275,-312,2024-05-16 23:57:02
418,19,20,-271,-258,2024-05-16 23:58:02
419,19,20,-128,-146,2024-05-16 23:59:02
420,19,20,138,138,2024-05-17 00:00:02
421,19,20,-75,-58,2024-05-17 00:01:02
422,19,20,-201,-252,2024-05-17 00:02:02
423,19,20,-128,-138,2024-05-17 00:03:02
424,19,20,-79,-101,2024-05-17 00:04:02
425,19,20,208,211,2024-05-17 00:05:02
426,20,21,111,106,2024-05-17 00:06:02
427,21,22,-108,-106,2024-05-17 00:07:02
428,20,21,-327,-332,2024-05-17 00:08:02
429,20,20,-342,-344,2024-05-17 00:09:02
430,20,20,-93,-80,2024-05-17 00:10:02
431,20,20,-6,0,2024-05-17 00:11:02
432,20,21,-246,-230,2024-05-17 00:12:02
433,20,20,-105,-96,2024-05-17 00:13:02
434,20,20,45,32,2024-05-17 00:14:02
435,20,20,-212,-220,2024-05-17 00:15:02
436,20,20,-218,-202,2024-05-17 00:16:02
437,20,20,20,-27,2024-05-17 00:17:02
438,18,19,-15,-60,2024-05-17 00:18:02
439,18,19,-344,-344,2024-05-17 00:19:02
440,18,19,-340,-347,2024-05-17 00:20:02
441,18,19,-335,-339,2024-05-17 00:21:02
442,18,19,-302,-312,2024-05-17 00:22:02
443,18,19,-203,-236,2024-05-17 00:23:02
444,18,19,-345,-344,2024-05-17 00:24:02
445,18,19,-344,-344,2024-05-17 00:25:02
446,18,19,-344,-344,2024-05-17 00:26:02
447,18,19,-344,-344,2024-05-17 00:27:02
448,18,19,-344,-344,2024-05-17 00:28:02
449,18,19,-344,-344,2024-05-17 00:29:02
450,18,19,-344,-344,2024-05-17 00:30:02
451,18,19,-345,-344,2024-05-17 00:31:02
452,18,19,-344,-344,2024-05-17 00:32:02
453,19,19,-344,-344,2024-05-17 00:33:02
454,19,20,-344,-344,2024-05-17 00:34:02
455,19,20,-344,-344,2024-05-17 00:35:02
456,20,22,-344,-344,2024-05-17 00:36:02
457,22,23,-344,-344,2024-05-17 00:37:02
458,22,23,-344,-344,2024-05-17 00:38:02
459,22,23,-344,-344,2024-05-17 00:39:02
460,22,23,-237,-220,2024-05-17 00:40:02
461,20,21,54,-12,2024-05-17 00:41:02
462,20,21,-322,-324,2024-05-17 00:42:02
463,21,21,-126,-69,2024-05-17 00:43:02
464,21,22,285,255,2024-05-17 00:44:02
465,21,22,-131,-156,2024-05-17 00:45:02
466,20,21,-324,-344,2024-05-17 00:46:02
467,20,21,-198,-261,2024-05-17 00:47:02
468,20,21,-121,-106,2024-05-17 00:48:02
469,19,19,-105,-103,2024-05-17 00:49:02
470,20,21,162,140,2024-05-17 00:50:02
471,21,21,-187,-192,2024-05-17 00:51:02
472,20,21,-10,-25,2024-05-17 00:52:02
473,19,20,66,45,2024-05-17 00:53:02
474,19,20,-292,-262,2024-05-17 00:54:02
475,19,20,-123,-76,2024-05-17 00:55:02
476,19,20,25,-3,2024-05-17 00:56:02
477,19,20,-240,-225,2024-05-17 00:57:02
478,19,20,-96,-20,2024-05-17 00:58:02
479,19,19,-75,-60,2024-05-17 00:59:02
480,16,17,337,342,2024-05-17 02:00:02
481,16,17,340,342,2024-05-17 02:01:02
482,16,17,340,342,2024-05-17 02:02:02
483,16,17,146,128,2024-05-17 02:03:02
484,16,17,-4,20,2024-05-17 02:04:02
485,16,17,-113,-118,2024-05-17 02:05:02
486,16,17,-177,-155,2024-05-17 02:06:02
487,16,17,128,143,2024-05-17 02:07:02
488,16,17,337,342,2024-05-17 02:08:02
489,16,17,337,342,2024-05-17 02:09:02
490,16,17,337,342,2024-05-17 02:10:02
491,18,18,337,342,2024-05-17 02:11:02
492,18,19,337,342,2024-05-17 02:12:02
493,18,19,337,342,2024-05-17 02:13:02
494,20,21,337,342,2024-05-17 02:14:02
495,22,23,337,342,2024-05-17 02:15:02
496,22,23,337,342,2024-05-17 02:16:02
497,18,19,337,342,2024-05-17 02:17:02
498,18,19,-50,-55,2024-05-17 02:18:02
499,18,19,-111,-49,2024-05-17 02:19:02
500,18,19,50,20,2024-05-17 02:20:02
501,18,19,81,111,2024-05-17 02:21:02
502,18,19,34,50,2024-05-17 02:22:02
503,18,19,-195,-201,2024-05-17 02:23:02
504,18,19,-201,-201,2024-05-17 02:24:02
505,18,19,-220,-212,2024-05-17 02:25:02
506,18,19,-70,-6,2024-05-17 02:26:02
507,19,19,200,252,2024-05-17 02:27:02
508,18,19,246,222,2024-05-17 02:28:02
509,19,19,-6,-40,2024-05-17 02:29:02
510,19,19,-126,-101,2024-05-17 02:30:02
511,18,19,-37,-43,2024-05-17 02:31:02
512,19,19,-54,-25,2024-05-17 02:32:02
513,19,19,-101,-108,2024-05-17 02:33:02
514,18,19,-75,-96,2024-05-17 02:34:02
515,18,18,125,83,2024-05-17 02:35:02
516,17,17,-10,-17,2024-05-17 02:36:02
517,17,17,27,37,2024-05-17 02:37:02
518,16,17,100,30,2024-05-17 02:38:02
519,16,17,-339,-344,2024-05-17 02:39:02
520,17,17,-342,-330,2024-05-17 02:40:02
521,16,17,-123,-54,2024-05-17 02:41:02
522,16,17,125,131,2024-05-17 02:42:02
523,16,17,-65,-12,2024-05-17 02:43:02
524,16,17,-344,-345,2024-05-17 02:44:02
525,16,17,-260,-235,2024-05-17 02:45:02
526,16,17,118,95,2024-05-17 02:46:02
527,16,17,158,167,2024-05-17 02:47:02
528,16,17,25,18,2024-05-17 02:48:02
529,16,17,-291,-237,2024-05-17 02:49:02
530,16,17,-175,-182,2024-05-17 02:50:02
531,16,17,16,-18,2024-05-17 02:51:02
532,16,17,310,325,2024-05-17 02:52:02
533,16,17,1,-69,2024-05-17 02:53:02
534,16,17,-340,-344,2024-05-17 02:54:02
535,16,17,-335,-315,2024-05-17 02:55:02
536,16,17,-283,-253,2024-05-17 02:56:02
537,16,17,0,45,2024-05-17 02:57:02
538,18,19,302,292,2024-05-17 02:58:02
539,18,18,17,-6,2024-05-17 02:59:02
540,18,19,-255,-251,2024-05-17 03:00:02
541,18,19,-308,-344,2024-05-17 03:01:02
542,18,19,-108,-69,2024-05-17 03:02:02
543,18,19,-39,-143,2024-05-17 03:03:02
544,18,19,-123,-69,2024-05-17 03:04:02
545,18,19,30,-16,2024-05-17 03:05:02
546,18,19,176,195,2024-05-17 03:06:02
547,18,19,113,162,2024-05-17 03:07:02
548,18,19,-66,-30,2024-05-17 03:08:02
549,18,19,-271,-266,2024-05-17 03:09:02
550,18,19,-150,-163,2024-05-17 03:10:02
551,18,19,8,4,2024-05-17 03:11:02
552,18,19,116,160,2024-05-17 03:12:02
553,18,19,-93,-71,2024-05-17 03:13:02
554,18,19,-153,-143,2024-05-17 03:14:02
555,18,18,-340,-344,2024-05-17 03:15:02
556,18,18,-175,-118,2024-05-17 03:16:02
557,18,19,-135,-128,2024-05-17 03:17:02
558,18,19,-58,-61,2024-05-17 03:18:02
559,18,19,-163,-150,2024-05-17 03:19:02
560,18,19,-136,-167,2024-05-17 03:20:02
561,18,19,178,160,2024-05-17 03:21:02
562,18,19,173,181,2024-05-17 03:22:02
563,18,19,-213,-177,2024-05-17 03:23:02
564,18,19,-340,-344,2024-05-17 03:24:02
565,18,19,-88,-24,2024-05-17 03:25:02
566,18,18,-22,-40,2024-05-17 03:26:02
567,18,19,-116,-91,2024-05-17 03:27:02
568,18,19,15,66,2024-05-17 03:28:02
569,18,19,64,59,2024-05-17 03:29:02
570,18,19,-3,18,2024-05-17 03:30:02
571,18,19,-25,-32,2024-05-17 03:31:02
572,18,19,-141,-150,2024-05-17 03:32:02
573,18,19,-277,-292,2024-05-17 03:33:02
574,18,19,-50,-45,2024-05-17 03:34:02
575,18,19,141,111,2024-05-17 03:35:02
576,17,18,-221,-217,2024-05-17 03:36:02
