index,csvTime,P2_2,P2_3,P2_25,P2_24
57,2024-05-17 00:57:48,0,0,109,1800
58,2024-05-17 00:58:48,0,0,111,1800
143635,2024-05-17 01:00:49,0,0,108,1803
143636,2024-05-17 01:01:49,0,0,110,1803
143637,2024-05-17 01:02:48,0,0,107,1804
143638,2024-05-17 01:03:49,0,0,110,1806
143639,2024-05-17 01:04:49,0,0,106,1802
143640,2024-05-17 01:05:48,0,0,107,1806
143641,2024-05-17 01:06:48,0,0,111,1802
143642,2024-05-17 01:07:49,0,0,108,1800
143643,2024-05-17 01:08:49,8,0,107,1805
143644,2024-05-17 01:09:49,0,0,105,1804
143645,2024-05-17 01:10:49,0,0,105,1803
143646,2024-05-17 01:11:49,0,0,106,1802
143647,2024-05-17 01:12:49,0,0,108,1806
143648,2024-05-17 01:13:48,0,0,109,1803
143649,2024-05-17 01:14:48,0,0,109,1802
143650,2024-05-17 01:15:49,0,0,108,1804
143651,2024-05-17 01:16:48,0,0,114,1804
143652,2024-05-17 01:17:48,8,0,110,1802
143653,2024-05-17 01:18:48,0,0,115,1802
143654,2024-05-17 01:19:49,0,0,113,1802
143655,2024-05-17 01:20:49,0,0,114,1804
143656,2024-05-17 01:21:49,0,0,110,1803
143657,2024-05-17 01:22:49,0,0,111,1804
143658,2024-05-17 01:23:49,0,0,110,1803
143659,2024-05-17 01:24:48,0,0,110,1803
143660,2024-05-17 01:25:49,0,0,111,1802
143661,2024-05-17 01:26:48,8,0,112,1800
143662,2024-05-17 01:27:49,0,0,114,1803
143663,2024-05-17 01:28:48,0,0,113,1802
143664,2024-05-17 01:29:48,0,0,113,1803
143665,2024-05-17 01:30:49,0,0,112,1802
143666,2024-05-17 01:31:48,0,0,112,1802
143667,2024-05-17 01:32:48,0,0,112,1805
143668,2024-05-17 01:33:48,0,0,114,1803
143669,2024-05-17 01:34:48,0,0,113,1802
143670,2024-05-17 01:35:49,8,0,112,1806
143671,2024-05-17 01:36:49,8,0,112,1800
143672,2024-05-17 01:37:48,0,0,111,1805
143673,2024-05-17 01:38:49,0,0,111,1805
143674,2024-05-17 01:39:48,0,0,111,1804
143675,2024-05-17 01:40:49,0,0,104,1804
143676,2024-05-17 01:41:48,0,0,109,1806
143677,2024-05-17 01:42:49,0,0,106,1803
143678,2024-05-17 01:43:49,0,0,108,1802
143679,2024-05-17 01:44:49,0,0,107,1805
143680,2024-05-17 01:45:48,0,0,105,1804
143681,2024-05-17 01:46:48,8,0,106,1800
143682,2024-05-17 01:47:48,0,0,104,1805
143683,2024-05-17 01:48:49,0,0,108,1804
143684,2024-05-17 01:49:49,0,0,108,1805
143685,2024-05-17 01:50:49,0,0,108,1804
143686,2024-05-17 01:51:49,0,0,112,1805
143687,2024-05-17 01:52:48,0,0,110,1806
143688,2024-05-17 01:53:49,0,0,108,1805
143689,2024-05-17 01:54:49,0,0,108,1802
143690,2024-05-17 01:55:49,0,0,109,1800
143691,2024-05-17 01:56:48,0,0,107,1805
143692,2024-05-17 01:57:48,0,0,112,1803
143693,2024-05-17 01:58:49,0,0,109,1803
143694,2024-05-17 01:59:48,0,0,109,1803
59,2024-05-17 02:00:49,0,0,109,1802
60,2024-05-17 02:01:49,0,0,109,1802
61,2024-05-17 02:02:49,0,0,105,1801
62,2024-05-17 02:03:49,0,0,111,1802
63,2024-05-17 02:04:49,0,0,109,1803
64,2024-05-17 02:05:48,8,0,109,1800
65,2024-05-17 02:06:49,8,0,111,1800
66,2024-05-17 02:07:49,0,0,110,1804
67,2024-05-17 02:08:49,0,0,113,1802
68,2024-05-17 02:09:49,0,0,109,1803
69,2024-05-17 02:10:48,0,0,108,1803
70,2024-05-17 02:11:48,0,0,111,1803
71,2024-05-17 02:12:49,0,0,112,1804
72,2024-05-17 02:13:48,0,0,110,1803
73,2024-05-17 02:14:49,0,0,109,1802
74,2024-05-17 02:15:48,8,0,109,1800
75,2024-05-17 02:16:49,0,0,107,1802
76,2024-05-17 02:17:49,0,0,105,1803
77,2024-05-17 02:18:48,0,0,106,1802
78,2024-05-17 02:19:48,0,0,109,1806
79,2024-05-17 02:20:48,0,0,107,1804
80,2024-05-17 02:21:48,0,0,107,1805
81,2024-05-17 02:22:48,0,0,106,1805
82,2024-05-17 02:23:48,0,0,107,1804
83,2024-05-17 02:24:49,0,0,107,1803
84,2024-05-17 02:25:49,8,0,110,1800
85,2024-05-17 02:26:48,0,0,110,1803
86,2024-05-17 02:27:48,0,0,110,1803
87,2024-05-17 02:28:49,0,0,109,1803
88,2024-05-17 02:29:49,0,0,110,1803
89,2024-05-17 02:30:48,0,0,111,1804
90,2024-05-17 02:31:48,0,0,108,1806
91,2024-05-17 02:32:49,0,0,104,1804
92,2024-05-17 02:33:48,0,0,106,1802
93,2024-05-17 02:34:49,0,0,105,1806
94,2024-05-17 02:35:48,0,0,110,1800
95,2024-05-17 02:36:48,0,0,104,1804
96,2024-05-17 02:37:49,0,0,107,1803
97,2024-05-17 02:38:48,0,0,107,1804
98,2024-05-17 02:39:48,0,0,109,1804
99,2024-05-17 02:40:49,0,0,109,1804
100,2024-05-17 02:41:49,0,0,109,1805
101,2024-05-17 02:42:48,0,0,110,1805
102,2024-05-17 02:43:48,0,0,109,1805
103,2024-05-17 02:44:48,0,0,110,1802
104,2024-05-17 02:45:49,8,0,109,1800
105,2024-05-17 02:46:49,0,0,109,1803
106,2024-05-17 02:47:49,0,0,111,1804
107,2024-05-17 02:48:49,0,0,109,1802
108,2024-05-17 02:49:49,0,0,110,1804
109,2024-05-17 02:50:49,0,0,106,1802
110,2024-05-17 02:51:48,0,0,108,1803
111,2024-05-17 02:52:48,0,0,108,1803
112,2024-05-17 02:53:49,0,0,104,1804
113,2024-05-17 02:54:48,0,0,107,1800
114,2024-05-17 02:55:48,8,0,107,1800
115,2024-05-17 02:56:49,0,0,108,1803
116,2024-05-17 02:57:48,0,0,108,1803
117,2024-05-17 02:58:48,0,0,104,1803
118,2024-05-17 03:00:49,0,0,107,1803
119,2024-05-17 03:01:49,0,0,109,1803
120,2024-05-17 03:02:48,0,0,108,1803
121,2024-05-17 03:03:49,0,0,109,1805
122,2024-05-17 03:04:49,0,0,111,1800
123,2024-05-17 03:05:49,8,0,109,1800
124,2024-05-17 03:06:49,0,0,110,1802
125,2024-05-17 03:07:48,0,0,107,1804
126,2024-05-17 03:08:49,0,0,108,1802
127,2024-05-17 03:09:49,0,0,109,1805
128,2024-05-17 03:10:49,0,0,108,1802
129,2024-05-17 03:11:48,0,0,109,1802
130,2024-05-17 03:12:48,0,0,108,1803
131,2024-05-17 03:13:49,0,0,106,1803
132,2024-05-17 03:14:49,0,0,108,1800
133,2024-05-17 03:15:49,0,0,110,1801
134,2024-05-17 03:16:49,0,0,107,1802
135,2024-05-17 03:17:48,0,0,106,1803
136,2024-05-17 03:18:49,0,0,109,1803
137,2024-05-17 03:19:49,0,0,106,1803
138,2024-05-17 03:20:49,0,0,110,1802
139,2024-05-17 03:21:49,0,0,109,1802
140,2024-05-17 03:22:49,0,0,107,1802
141,2024-05-17 03:23:48,0,0,108,1802
142,2024-05-17 03:24:49,0,0,108,1800
143,2024-05-17 03:25:48,0,0,107,1801
144,2024-05-17 03:26:49,0,0,107,1800
145,2024-05-17 03:27:49,0,0,108,1801
146,2024-05-17 03:28:49,0,0,106,1803
147,2024-05-17 03:29:49,0,0,105,1802
148,2024-05-17 03:30:48,0,0,107,1802
149,2024-05-17 03:31:48,0,0,107,1802
150,2024-05-17 03:32:48,0,0,106,1802
151,2024-05-17 03:33:48,0,0,104,1802
152,2024-05-17 03:34:49,0,0,106,1800
153,2024-05-17 03:35:49,8,0,109,1802
154,2024-05-17 03:36:48,0,0,107,1802
155,2024-05-17 03:37:49,0,0,104,1803
156,2024-05-17 03:38:48,0,0,110,1802
157,2024-05-17 03:39:49,0,0,106,1804
158,2024-05-17 03:40:48,0,0,109,1802
159,2024-05-17 03:41:49,0,0,108,1805
160,2024-05-17 03:42:48,0,0,109,1802
161,2024-05-17 03:43:49,8,0,108,1800
162,2024-05-17 03:44:49,0,0,108,1800
163,2024-05-17 03:45:49,0,0,107,1804
164,2024-05-17 03:46:49,0,0,109,1805
165,2024-05-17 03:47:48,0,0,106,1803
166,2024-05-17 03:48:48,0,0,109,1803
167,2024-05-17 03:49:48,0,0,107,1803
168,2024-05-17 03:50:49,0,0,107,1803
169,2024-05-17 03:51:48,0,0,108,1804
170,2024-05-17 03:52:49,0,0,108,1802
171,2024-05-17 03:53:49,0,0,109,1800
172,2024-05-17 03:54:49,0,0,108,1804
173,2024-05-17 03:55:49,0,0,108,1804
174,2024-05-17 03:56:49,0,0,108,1802
175,2024-05-17 03:57:48,0,0,107,1803
176,2024-05-17 03:58:48,0,0,104,1804
177,2024-05-17 03:59:48,0,0,106,1804
178,2024-05-17 04:00:49,0,0,107,1805
179,2024-05-17 04:01:49,0,0,106,1803
180,2024-05-17 04:02:49,0,0,102,1804
181,2024-05-17 04:03:49,0,0,104,1800
182,2024-05-17 04:04:49,8,0,102,1805
183,2024-05-17 04:05:48,0,0,97,1803
184,2024-05-17 04:06:48,0,0,100,1804
185,2024-05-17 04:07:48,0,0,100,1804
186,2024-05-17 04:08:48,0,0,103,1803
187,2024-05-17 04:09:48,0,0,102,1803
188,2024-05-17 04:10:48,0,0,105,1803
189,2024-05-17 04:11:49,0,0,103,1804
190,2024-05-17 04:12:49,8,0,105,1802
191,2024-05-17 04:13:48,8,0,106,1800
192,2024-05-17 04:14:48,0,0,107,1802
193,2024-05-17 04:15:48,0,0,107,1803
194,2024-05-17 04:16:49,0,0,104,1804
195,2024-05-17 04:17:49,0,0,107,1803
196,2024-05-17 04:18:49,0,0,106,1801
197,2024-05-17 04:19:49,0,0,107,1802
198,2024-05-17 04:20:49,0,0,108,1801
199,2024-05-17 04:21:48,0,0,107,1802
200,2024-05-17 04:22:48,8,0,106,1800
201,2024-05-17 04:23:48,0,0,110,1800
202,2024-05-17 04:24:48,0,0,108,1802
203,2024-05-17 04:25:49,0,0,109,1800
204,2024-05-17 04:26:49,0,0,107,1802
205,2024-05-17 04:27:49,0,0,105,1804
206,2024-05-17 04:28:48,0,0,107,1802
207,2024-05-17 04:29:49,0,0,107,1802
208,2024-05-17 04:30:49,0,0,108,1802
209,2024-05-17 04:31:48,0,0,107,1802
210,2024-05-17 04:32:49,0,0,109,1802
211,2024-05-17 04:33:49,0,0,105,1803
212,2024-05-17 04:34:48,0,0,107,1802
213,2024-05-17 04:35:48,0,0,108,1802
214,2024-05-17 04:36:49,0,0,109,1801
215,2024-05-17 04:37:49,0,0,106,1801
216,2024-05-17 04:38:48,0,0,107,1802
217,2024-05-17 04:39:49,0,0,105,1802
218,2024-05-17 04:40:48,0,0,103,1803
219,2024-05-17 04:41:49,0,0,106,1800
220,2024-05-17 04:42:49,8,0,103,1803
221,2024-05-17 04:43:48,0,0,104,1803
222,2024-05-17 04:44:49,0,0,105,1802
223,2024-05-17 04:45:48,0,0,103,1803
224,2024-05-17 04:46:49,0,0,103,1802
225,2024-05-17 04:47:49,0,0,102,1802
226,2024-05-17 04:48:49,0,0,103,1802
227,2024-05-17 04:49:48,0,0,102,1803
228,2024-05-17 04:50:49,0,0,107,1802
229,2024-05-17 04:51:48,0,0,105,1800
230,2024-05-17 04:52:49,8,0,105,1804
231,2024-05-17 04:53:48,0,0,106,1802
232,2024-05-17 04:54:49,0,0,107,1801
233,2024-05-17 04:55:49,0,0,106,1804
234,2024-05-17 04:56:48,0,0,106,1803
235,2024-05-17 04:57:49,0,0,108,1802
236,2024-05-17 04:58:48,0,0,105,1802
237,2024-05-17 05:00:48,0,0,107,1802
238,2024-05-17 05:01:49,0,0,106,1800
239,2024-05-17 05:02:48,8,0,105,1802
240,2024-05-17 05:03:49,0,0,110,1802
241,2024-05-17 05:04:49,0,0,108,1801
242,2024-05-17 05:05:49,0,0,107,1802
243,2024-05-17 05:06:48,0,0,103,1803
244,2024-05-17 05:07:49,0,0,108,1802
245,2024-05-17 05:08:48,0,0,107,1803
246,2024-05-17 05:09:48,0,0,107,1802
247,2024-05-17 05:10:49,0,0,107,1802
248,2024-05-17 05:11:48,0,0,105,1800
249,2024-05-17 05:12:49,8,0,107,1802
250,2024-05-17 05:13:48,0,0,105,1801
251,2024-05-17 05:14:48,0,0,103,1800
252,2024-05-17 05:15:49,0,0,107,1802
253,2024-05-17 05:16:48,0,0,106,1802
254,2024-05-17 05:17:49,0,0,104,1802
255,2024-05-17 05:18:48,0,0,106,1801
256,2024-05-17 05:19:49,0,0,105,1802
257,2024-05-17 05:20:48,0,0,108,1800
258,2024-05-17 05:21:48,0,0,105,1801
259,2024-05-17 05:22:49,8,0,104,1802
260,2024-05-17 05:23:49,0,0,104,1801
261,2024-05-17 05:24:49,0,0,104,1801
262,2024-05-17 05:25:48,0,0,106,1802
263,2024-05-17 05:26:49,0,0,107,1800
264,2024-05-17 05:27:49,0,0,105,1802
265,2024-05-17 05:28:49,0,0,105,1800
266,2024-05-17 05:29:49,0,0,104,1802
267,2024-05-17 05:30:48,8,0,104,1800
268,2024-05-17 05:31:49,0,0,107,1800
269,2024-05-17 05:32:49,8,0,105,1801
270,2024-05-17 05:33:48,0,0,109,1800
271,2024-05-17 05:34:48,0,0,105,1800
272,2024-05-17 05:35:49,0,0,108,1802
273,2024-05-17 05:36:48,0,0,107,1800
274,2024-05-17 05:37:49,0,0,110,1800
275,2024-05-17 05:38:49,0,0,109,1799
276,2024-05-17 05:39:48,0,0,111,1800
277,2024-05-17 05:40:49,0,0,109,1800
278,2024-05-17 05:41:49,8,0,105,1799
279,2024-05-17 05:42:48,0,0,106,1799
280,2024-05-17 05:43:49,0,0,109,1799
281,2024-05-17 05:44:49,0,0,106,1801
282,2024-05-17 05:45:49,0,0,102,1798
283,2024-05-17 05:46:49,0,0,105,1798
284,2024-05-17 05:47:48,0,0,104,1800
285,2024-05-17 05:48:49,0,0,106,1798
286,2024-05-17 05:49:49,0,0,104,1802
287,2024-05-17 05:50:48,8,0,105,1800
288,2024-05-17 05:51:49,0,0,108,1798
289,2024-05-17 05:52:49,0,0,108,1799
290,2024-05-17 05:53:49,0,0,105,1801
291,2024-05-17 05:54:49,0,0,107,1798
292,2024-05-17 05:55:49,0,0,108,1798
293,2024-05-17 05:56:48,0,0,108,1799
294,2024-05-17 05:57:48,0,0,109,1796
295,2024-05-17 05:58:48,0,0,111,1798
296,2024-05-17 06:00:48,0,0,106,1800
297,2024-05-17 06:01:48,0,0,107,1800
298,2024-05-17 06:02:48,0,0,108,1799
299,2024-05-17 06:03:48,0,0,105,1800
300,2024-05-17 06:04:48,0,0,106,1799
301,2024-05-17 06:05:49,0,0,103,1798
302,2024-05-17 06:06:48,0,0,108,1799
303,2024-05-17 06:07:49,0,0,100,1801
304,2024-05-17 06:08:48,0,0,105,1799
305,2024-05-17 06:09:49,0,0,104,1800
306,2024-05-17 06:10:48,8,0,108,1800
307,2024-05-17 06:11:48,0,0,110,1799
308,2024-05-17 06:12:49,0,0,104,1801
309,2024-05-17 06:13:49,0,0,110,1797
310,2024-05-17 06:14:48,0,0,110,1798
311,2024-05-17 06:15:48,0,0,113,1799
312,2024-05-17 06:16:48,0,0,101,1799
313,2024-05-17 06:17:48,0,0,100,1799
314,2024-05-17 06:18:49,0,0,172,1796
315,2024-05-17 06:19:49,0,0,100,1800
316,2024-05-17 06:20:49,0,0,95,1800
317,2024-05-17 06:21:49,0,0,94,1804
318,2024-05-17 06:22:48,0,0,102,1802
319,2024-05-17 06:23:49,0,0,109,1799
320,2024-05-17 06:24:49,0,0,115,1802
321,2024-05-17 06:25:49,0,0,151,1795
322,2024-05-17 06:26:49,0,0,104,1801
323,2024-05-17 06:27:49,0,0,101,1802
324,2024-05-17 06:28:48,0,0,100,1803
325,2024-05-17 06:29:48,8,0,105,1803
326,2024-05-17 06:30:49,0,0,103,1802
327,2024-05-17 06:31:48,0,0,109,1802
328,2024-05-17 06:32:49,0,0,107,1800
329,2024-05-17 06:33:48,0,0,102,1803
330,2024-05-17 06:34:48,0,0,104,1802
331,2024-05-17 06:35:48,0,0,104,1802
332,2024-05-17 06:36:49,0,0,104,1802
333,2024-05-17 06:37:48,0,0,103,1802
334,2024-05-17 06:38:49,0,0,104,1801
335,2024-05-17 06:39:48,0,0,106,1800
336,2024-05-17 06:40:48,8,0,106,1802
337,2024-05-17 06:41:48,8,0,106,1801
338,2024-05-17 06:42:49,0,0,108,1802
339,2024-05-17 06:43:48,0,0,107,1801
340,2024-05-17 06:44:49,0,0,109,1801
341,2024-05-17 06:45:48,0,0,108,1800
342,2024-05-17 06:46:48,0,0,107,1802
343,2024-05-17 06:47:49,0,0,108,1801
344,2024-05-17 06:48:49,8,0,109,1800
345,2024-05-17 06:49:48,0,0,111,1802
346,2024-05-17 06:50:49,0,0,106,1801
347,2024-05-17 06:51:48,8,0,105,1801
348,2024-05-17 06:52:49,0,0,102,1801
349,2024-05-17 06:53:49,0,0,103,1802
350,2024-05-17 06:54:49,0,0,104,1802
351,2024-05-17 06:55:48,0,0,103,1802
352,2024-05-17 06:56:48,0,0,104,1801
353,2024-05-17 06:57:48,0,0,105,1800
354,2024-05-17 06:58:49,0,0,103,1802
355,2024-05-17 07:00:49,0,0,107,1802
356,2024-05-17 07:01:48,0,0,103,1801
357,2024-05-17 07:02:49,0,0,104,1803
358,2024-05-17 07:03:49,0,0,108,1802
359,2024-05-17 07:04:48,0,0,109,1800
360,2024-05-17 07:05:48,0,0,109,1801
361,2024-05-17 07:06:49,0,0,107,1800
362,2024-05-17 07:07:49,8,0,104,1800
363,2024-05-17 07:08:49,0,0,103,1802
364,2024-05-17 07:09:48,0,0,102,1803
365,2024-05-17 07:10:48,0,0,96,1804
366,2024-05-17 07:11:49,0,0,102,1802
367,2024-05-17 07:12:49,0,0,145,1795
368,2024-05-17 07:13:49,0,0,96,1805
369,2024-05-17 07:14:48,0,0,124,1800
370,2024-05-17 07:15:49,0,0,97,1804
371,2024-05-17 07:16:49,0,0,110,1800
372,2024-05-17 07:17:49,8,0,112,1800
373,2024-05-17 07:18:49,0,0,102,1803
374,2024-05-17 07:19:48,0,0,124,1800
375,2024-05-17 07:20:48,0,0,134,1795
376,2024-05-17 07:21:48,0,0,124,1801
377,2024-05-17 07:22:49,0,0,130,1801
378,2024-05-17 07:23:49,0,0,106,1802
379,2024-05-17 07:24:49,0,0,102,1805
380,2024-05-17 07:25:49,0,0,107,1804
381,2024-05-17 07:26:48,0,0,104,1804
382,2024-05-17 07:27:48,8,0,105,1800
383,2024-05-17 07:28:49,0,0,103,1802
384,2024-05-17 07:29:48,0,0,100,1805
385,2024-05-17 07:30:49,0,0,104,1803
386,2024-05-17 07:31:49,0,0,100,1802
387,2024-05-17 07:32:48,0,0,104,1803
388,2024-05-17 07:33:49,0,0,101,1802
389,2024-05-17 07:34:48,0,0,103,1802
390,2024-05-17 07:35:48,0,0,101,1802
391,2024-05-17 07:36:48,0,0,106,1800
392,2024-05-17 07:37:48,0,0,104,1802
393,2024-05-17 07:38:49,0,0,105,1802
394,2024-05-17 07:39:49,0,0,101,1803
395,2024-05-17 07:40:48,0,0,105,1803
396,2024-05-17 07:41:49,0,0,105,1802
397,2024-05-17 07:42:49,0,0,104,1804
398,2024-05-17 07:43:49,0,0,97,1803
399,2024-05-17 07:44:48,0,0,112,1801
400,2024-05-17 07:45:48,0,0,107,1803
401,2024-05-17 07:46:49,8,0,101,1800
402,2024-05-17 07:47:49,0,0,99,1805
403,2024-05-17 07:48:48,0,0,109,1805
404,2024-05-17 07:49:49,0,0,108,1802
405,2024-05-17 07:50:49,0,0,110,1802
406,2024-05-17 07:51:49,0,0,137,1802
407,2024-05-17 07:52:48,0,0,133,1798
408,2024-05-17 07:53:48,0,0,111,1801
409,2024-05-17 07:54:48,0,0,124,1805
410,2024-05-17 07:55:49,0,0,108,1801
411,2024-05-17 07:56:49,0,0,105,1800
412,2024-05-17 07:57:49,0,0,98,1803
413,2024-05-17 07:58:48,0,0,98,1804
414,2024-05-17 08:00:49,0,0,95,1804
415,2024-05-17 08:01:48,0,0,100,1804
416,2024-05-17 08:02:48,0,0,98,1803
417,2024-05-17 08:03:48,0,0,110,1802
418,2024-05-17 08:04:49,0,0,97,1805
419,2024-05-17 08:05:48,0,0,98,1803
420,2024-05-17 08:06:48,0,0,99,1806
421,2024-05-17 08:07:48,0,0,100,1804
422,2024-05-17 08:08:48,0,0,112,1802
423,2024-05-17 08:09:48,0,0,100,1803
424,2024-05-17 08:10:48,0,0,102,1803
425,2024-05-17 08:11:48,0,0,110,1805
426,2024-05-17 08:12:48,0,0,105,1802
427,2024-05-17 08:13:48,0,0,110,1804
428,2024-05-17 08:14:48,0,0,103,1803
429,2024-05-17 08:15:49,8,0,109,1803
430,2024-05-17 08:16:49,0,0,98,1805
431,2024-05-17 08:17:49,0,0,95,1802
432,2024-05-17 08:18:49,0,0,97,1804
433,2024-05-17 08:19:48,0,0,106,1801
434,2024-05-17 08:20:48,0,0,114,1801
435,2024-05-17 08:21:48,0,0,115,1799
436,2024-05-17 08:22:48,0,0,162,1802
437,2024-05-17 08:23:49,0,0,164,1799
438,2024-05-17 08:24:49,0,0,129,1799
439,2024-05-17 08:25:48,8,0,114,1803
440,2024-05-17 08:26:48,0,0,114,1803
441,2024-05-17 08:27:49,0,0,118,1803
442,2024-05-17 08:28:49,0,0,123,1802
443,2024-05-17 08:29:49,0,0,110,1802
444,2024-05-17 08:30:48,0,0,126,1805
445,2024-05-17 08:31:48,0,0,110,1803
446,2024-05-17 08:32:48,0,0,114,1802
447,2024-05-17 08:33:49,0,0,117,1802
448,2024-05-17 08:34:49,0,0,114,1803
449,2024-05-17 08:35:48,8,0,121,1800
450,2024-05-17 08:36:49,0,0,126,1805
451,2024-05-17 08:37:48,0,0,117,1804
452,2024-05-17 08:38:49,0,0,125,1799
453,2024-05-17 08:39:48,0,0,127,1803
454,2024-05-17 08:40:48,0,0,121,1802
455,2024-05-17 08:41:49,0,0,120,1802
456,2024-05-17 08:42:49,0,0,130,1800
457,2024-05-17 08:43:48,0,0,135,1799
458,2024-05-17 08:44:48,0,0,151,1797
459,2024-05-17 08:45:49,8,0,123,1800
460,2024-05-17 08:46:49,0,0,137,1798
461,2024-05-17 08:47:48,0,0,140,1798
462,2024-05-17 08:48:49,0,0,136,1798
463,2024-05-17 08:49:48,0,0,125,1800
464,2024-05-17 08:50:48,0,0,131,1799
465,2024-05-17 08:51:48,0,0,126,1803
466,2024-05-17 08:52:48,0,0,123,1802
467,2024-05-17 08:53:48,0,0,128,1804
468,2024-05-17 08:54:49,0,0,125,1799
469,2024-05-17 08:55:49,8,0,152,1801
470,2024-05-17 08:56:48,0,0,128,1800
471,2024-05-17 08:57:48,0,0,135,1800
472,2024-05-17 08:58:48,0,0,131,1801
143696,2024-05-17 09:00:48,0,0,136,1802
143698,2024-05-17 09:01:49,0,0,134,1801
143709,2024-05-17 09:02:48,0,0,127,1802
143711,2024-05-17 09:03:48,0,0,130,1802
143713,2024-05-17 09:04:49,8,0,134,1797
143714,2024-05-17 09:05:48,0,0,126,1800
143715,2024-05-17 09:06:49,0,0,126,1802
143716,2024-05-17 09:07:48,0,0,123,1801
143722,2024-05-17 09:08:48,0,0,136,1800
143723,2024-05-17 09:09:48,0,0,124,1800
143724,2024-05-17 09:10:48,0,0,130,1801
143725,2024-05-17 09:11:48,0,0,120,1802
143726,2024-05-17 09:12:48,0,0,127,1802
143727,2024-05-17 09:13:48,0,0,126,1800
143734,2024-05-17 09:14:49,8,0,124,1800
143736,2024-05-17 09:15:48,0,0,120,1801
143737,2024-05-17 09:16:49,0,0,125,1800
143742,2024-05-17 09:17:49,0,0,123,1802
143743,2024-05-17 09:18:48,0,0,118,1799
143744,2024-05-17 09:19:48,0,0,120,1803
143745,2024-05-17 09:20:49,0,0,122,1801
143747,2024-05-17 09:21:48,0,0,120,1803
143749,2024-05-17 09:22:49,0,0,119,1802
143751,2024-05-17 09:23:48,0,0,124,1801
143753,2024-05-17 09:24:49,0,0,124,1800
143754,2024-05-17 09:25:49,0,0,116,1802
143757,2024-05-17 09:26:48,0,0,151,1802
143758,2024-05-17 09:27:48,0,0,126,1806
143759,2024-05-17 09:28:49,0,0,116,1802
143760,2024-05-17 09:29:48,0,0,114,1803
143761,2024-05-17 09:30:49,0,0,122,1804
143762,2024-05-17 09:31:48,0,0,117,1802
143763,2024-05-17 09:32:49,0,0,121,1802
143764,2024-05-17 09:33:48,0,0,116,1802
143765,2024-05-17 09:34:48,0,0,122,1800
143766,2024-05-17 09:35:49,8,0,127,1802
143767,2024-05-17 09:36:49,0,0,120,1803
143768,2024-05-17 09:37:48,0,0,135,1796
143769,2024-05-17 09:38:48,0,0,124,1803
143784,2024-05-17 09:39:48,0,0,121,1802
143786,2024-05-17 09:40:49,0,0,126,1800
143787,2024-05-17 09:41:48,0,0,145,1801
143788,2024-05-17 09:42:48,0,0,138,1797
