index,PLC_point0_value,PLC_point1_value,PLC_point7_value,PLC_point5_value,PLC_point8_value,PLC_point4_value,PLC_point3_value,PLC_point2_value,PLC_point6_value,csvTime,deploy_retrieve_status
33,error,error,error,error,error,error,error,error,error,2024-09-25 00:33:34,false
34,error,error,error,error,error,error,error,error,error,2024-09-25 00:34:34,false
35,error,error,error,error,error,error,error,error,error,2024-09-25 00:35:34,false
36,error,error,error,error,error,error,error,error,error,2024-09-25 00:36:34,false
37,error,error,error,error,error,error,error,error,error,2024-09-25 00:37:34,false
38,error,error,error,error,error,error,error,error,error,2024-09-25 00:38:34,false
39,error,error,error,error,error,error,error,error,error,2024-09-25 00:39:34,false
40,error,error,error,error,error,error,error,error,error,2024-09-25 00:40:34,false
41,error,error,error,error,error,error,error,error,error,2024-09-25 00:41:34,false
42,error,error,error,error,error,error,error,error,error,2024-09-25 00:42:34,false
43,error,error,error,error,error,error,error,error,error,2024-09-25 00:43:34,false
44,error,error,error,error,error,error,error,error,error,2024-09-25 00:44:34,false
45,error,error,error,error,error,error,error,error,error,2024-09-25 00:45:34,false
46,error,error,error,error,error,error,error,error,error,2024-09-25 00:46:34,false
47,error,error,error,error,error,error,error,error,error,2024-09-25 00:47:34,false
48,error,error,error,error,error,error,error,error,error,2024-09-25 00:48:34,false
49,error,error,error,error,error,error,error,error,error,2024-09-25 00:49:34,false
50,error,error,error,error,error,error,error,error,error,2024-09-25 00:50:34,false
51,error,error,error,error,error,error,error,error,error,2024-09-25 00:51:34,false
52,error,error,error,error,error,error,error,error,error,2024-09-25 00:52:34,false
53,error,error,error,error,error,error,error,error,error,2024-09-25 00:53:34,false
54,error,error,error,error,error,error,error,error,error,2024-09-25 00:54:34,false
55,error,error,error,error,error,error,error,error,error,2024-09-25 00:55:34,false
56,error,error,error,error,error,error,error,error,error,2024-09-25 00:56:34,false
57,error,error,error,error,error,error,error,error,error,2024-09-25 00:57:34,false
58,error,error,error,error,error,error,error,error,error,2024-09-25 00:58:34,false
59,error,error,error,error,error,error,error,error,error,2024-09-25 01:00:34,false
60,error,error,error,error,error,error,error,error,error,2024-09-25 01:01:34,false
61,error,error,error,error,error,error,error,error,error,2024-09-25 01:02:34,false
62,error,error,error,error,error,error,error,error,error,2024-09-25 01:03:34,false
63,error,error,error,error,error,error,error,error,error,2024-09-25 01:04:34,false
64,error,error,error,error,error,error,error,error,error,2024-09-25 01:05:34,false
65,error,error,error,error,error,error,error,error,error,2024-09-25 01:06:34,false
66,error,error,error,error,error,error,error,error,error,2024-09-25 01:07:34,false
67,error,error,error,error,error,error,error,error,error,2024-09-25 01:08:34,false
68,error,error,error,error,error,error,error,error,error,2024-09-25 01:09:34,false
69,error,error,error,error,error,error,error,error,error,2024-09-25 01:10:34,false
70,error,error,error,error,error,error,error,error,error,2024-09-25 01:11:34,false
71,error,error,error,error,error,error,error,error,error,2024-09-25 01:12:34,false
72,error,error,error,error,error,error,error,error,error,2024-09-25 01:13:34,false
73,error,error,error,error,error,error,error,error,error,2024-09-25 01:14:34,false
74,error,error,error,error,error,error,error,error,error,2024-09-25 01:15:34,false
75,error,error,error,error,error,error,error,error,error,2024-09-25 01:16:34,false
76,error,error,error,error,error,error,error,error,error,2024-09-25 01:17:34,false
77,error,error,error,error,error,error,error,error,error,2024-09-25 01:18:34,false
78,error,error,error,error,error,error,error,error,error,2024-09-25 01:19:34,false
79,error,error,error,error,error,error,error,error,error,2024-09-25 01:20:34,false
80,error,error,error,error,error,error,error,error,error,2024-09-25 01:21:34,false
81,error,error,error,error,error,error,error,error,error,2024-09-25 01:22:34,false
82,error,error,error,error,error,error,error,error,error,2024-09-25 01:23:34,false
83,error,error,error,error,error,error,error,error,error,2024-09-25 01:24:34,false
84,error,error,error,error,error,error,error,error,error,2024-09-25 01:25:34,false
85,error,error,error,error,error,error,error,error,error,2024-09-25 01:26:34,false
86,error,error,error,error,error,error,error,error,error,2024-09-25 01:27:34,false
87,error,error,error,error,error,error,error,error,error,2024-09-25 01:28:34,false
88,error,error,error,error,error,error,error,error,error,2024-09-25 01:29:34,false
89,error,error,error,error,error,error,error,error,error,2024-09-25 01:30:34,false
90,error,error,error,error,error,error,error,error,error,2024-09-25 01:31:34,false
91,error,error,error,error,error,error,error,error,error,2024-09-25 01:32:34,false
92,error,error,error,error,error,error,error,error,error,2024-09-25 01:33:34,false
93,error,error,error,error,error,error,error,error,error,2024-09-25 01:34:34,false
94,error,error,error,error,error,error,error,error,error,2024-09-25 01:35:34,false
95,error,error,error,error,error,error,error,error,error,2024-09-25 01:36:34,false
96,error,error,error,error,error,error,error,error,error,2024-09-25 01:37:34,false
97,error,error,error,error,error,error,error,error,error,2024-09-25 01:38:34,false
98,error,error,error,error,error,error,error,error,error,2024-09-25 01:39:34,false
99,error,error,error,error,error,error,error,error,error,2024-09-25 01:40:34,false
100,error,error,error,error,error,error,error,error,error,2024-09-25 01:41:34,false
101,error,error,error,error,error,error,error,error,error,2024-09-25 01:42:34,false
102,error,error,error,error,error,error,error,error,error,2024-09-25 01:43:34,false
103,error,error,error,error,error,error,error,error,error,2024-09-25 01:44:34,false
104,error,error,error,error,error,error,error,error,error,2024-09-25 01:45:34,false
105,error,error,error,error,error,error,error,error,error,2024-09-25 01:46:34,false
106,error,error,error,error,error,error,error,error,error,2024-09-25 01:47:34,false
107,error,error,error,error,error,error,error,error,error,2024-09-25 01:48:34,false
108,error,error,error,error,error,error,error,error,error,2024-09-25 01:49:34,false
109,error,error,error,error,error,error,error,error,error,2024-09-25 01:50:34,false
110,error,error,error,error,error,error,error,error,error,2024-09-25 01:51:34,false
111,error,error,error,error,error,error,error,error,error,2024-09-25 01:52:34,false
112,error,error,error,error,error,error,error,error,error,2024-09-25 01:53:34,false
113,error,error,error,error,error,error,error,error,error,2024-09-25 01:54:34,false
114,error,error,error,error,error,error,error,error,error,2024-09-25 01:55:34,false
115,error,error,error,error,error,error,error,error,error,2024-09-25 01:56:34,false
116,error,error,error,error,error,error,error,error,error,2024-09-25 01:57:34,false
117,error,error,error,error,error,error,error,error,error,2024-09-25 01:58:34,false
118,error,error,error,error,error,error,error,error,error,2024-09-25 02:00:34,false
119,error,error,error,error,error,error,error,error,error,2024-09-25 02:01:34,false
120,error,error,error,error,error,error,error,error,error,2024-09-25 02:02:34,false
121,error,error,error,error,error,error,error,error,error,2024-09-25 02:03:34,false
122,error,error,error,error,error,error,error,error,error,2024-09-25 02:04:34,false
123,error,error,error,error,error,error,error,error,error,2024-09-25 02:05:34,false
124,error,error,error,error,error,error,error,error,error,2024-09-25 02:06:34,false
125,error,error,error,error,error,error,error,error,error,2024-09-25 02:07:34,false
126,error,error,error,error,error,error,error,error,error,2024-09-25 02:08:34,false
127,error,error,error,error,error,error,error,error,error,2024-09-25 02:09:34,false
128,error,error,error,error,error,error,error,error,error,2024-09-25 02:10:34,false
129,error,error,error,error,error,error,error,error,error,2024-09-25 02:11:34,false
130,error,error,error,error,error,error,error,error,error,2024-09-25 02:12:34,false
131,error,error,error,error,error,error,error,error,error,2024-09-25 02:13:34,false
132,error,error,error,error,error,error,error,error,error,2024-09-25 02:14:34,false
133,error,error,error,error,error,error,error,error,error,2024-09-25 02:15:34,false
134,error,error,error,error,error,error,error,error,error,2024-09-25 02:16:34,false
135,error,error,error,error,error,error,error,error,error,2024-09-25 02:17:34,false
136,error,error,error,error,error,error,error,error,error,2024-09-25 02:18:34,false
137,error,error,error,error,error,error,error,error,error,2024-09-25 02:19:34,false
138,error,error,error,error,error,error,error,error,error,2024-09-25 02:20:34,false
139,error,error,error,error,error,error,error,error,error,2024-09-25 02:21:34,false
140,error,error,error,error,error,error,error,error,error,2024-09-25 02:22:34,false
141,error,error,error,error,error,error,error,error,error,2024-09-25 02:23:34,false
142,error,error,error,error,error,error,error,error,error,2024-09-25 02:24:34,false
143,error,error,error,error,error,error,error,error,error,2024-09-25 02:25:34,false
144,error,error,error,error,error,error,error,error,error,2024-09-25 02:26:34,false
145,error,error,error,error,error,error,error,error,error,2024-09-25 02:27:34,false
146,error,error,error,error,error,error,error,error,error,2024-09-25 02:28:34,false
147,error,error,error,error,error,error,error,error,error,2024-09-25 02:29:34,false
148,error,error,error,error,error,error,error,error,error,2024-09-25 02:30:34,false
149,error,error,error,error,error,error,error,error,error,2024-09-25 02:31:34,false
150,error,error,error,error,error,error,error,error,error,2024-09-25 02:32:34,false
151,error,error,error,error,error,error,error,error,error,2024-09-25 02:33:34,false
152,error,error,error,error,error,error,error,error,error,2024-09-25 02:34:34,false
153,error,error,error,error,error,error,error,error,error,2024-09-25 02:35:34,false
154,error,error,error,error,error,error,error,error,error,2024-09-25 02:36:34,false
155,error,error,error,error,error,error,error,error,error,2024-09-25 02:37:34,false
156,error,error,error,error,error,error,error,error,error,2024-09-25 02:38:34,false
157,error,error,error,error,error,error,error,error,error,2024-09-25 02:39:34,false
158,error,error,error,error,error,error,error,error,error,2024-09-25 02:40:34,false
159,error,error,error,error,error,error,error,error,error,2024-09-25 02:41:34,false
160,error,error,error,error,error,error,error,error,error,2024-09-25 02:42:34,false
161,error,error,error,error,error,error,error,error,error,2024-09-25 02:43:34,false
162,error,error,error,error,error,error,error,error,error,2024-09-25 02:44:34,false
163,error,error,error,error,error,error,error,error,error,2024-09-25 02:45:34,false
164,error,error,error,error,error,error,error,error,error,2024-09-25 02:46:34,false
165,error,error,error,error,error,error,error,error,error,2024-09-25 02:47:34,false
166,error,error,error,error,error,error,error,error,error,2024-09-25 02:48:34,false
167,error,error,error,error,error,error,error,error,error,2024-09-25 02:49:34,false
168,error,error,error,error,error,error,error,error,error,2024-09-25 02:50:34,false
169,error,error,error,error,error,error,error,error,error,2024-09-25 02:51:34,false
170,error,error,error,error,error,error,error,error,error,2024-09-25 02:52:34,false
171,error,error,error,error,error,error,error,error,error,2024-09-25 02:53:34,false
172,error,error,error,error,error,error,error,error,error,2024-09-25 02:54:34,false
173,error,error,error,error,error,error,error,error,error,2024-09-25 02:55:34,false
174,error,error,error,error,error,error,error,error,error,2024-09-25 02:56:34,false
175,error,error,error,error,error,error,error,error,error,2024-09-25 02:57:34,false
176,error,error,error,error,error,error,error,error,error,2024-09-25 02:58:34,false
177,error,error,error,error,error,error,error,error,error,2024-09-25 03:00:34,false
178,error,error,error,error,error,error,error,error,error,2024-09-25 03:01:34,false
179,error,error,error,error,error,error,error,error,error,2024-09-25 03:02:34,false
180,error,error,error,error,error,error,error,error,error,2024-09-25 03:03:34,false
181,error,error,error,error,error,error,error,error,error,2024-09-25 03:04:34,false
182,error,error,error,error,error,error,error,error,error,2024-09-25 03:05:34,false
183,error,error,error,error,error,error,error,error,error,2024-09-25 03:06:34,false
184,error,error,error,error,error,error,error,error,error,2024-09-25 03:07:34,false
185,error,error,error,error,error,error,error,error,error,2024-09-25 03:08:34,false
186,error,error,error,error,error,error,error,error,error,2024-09-25 03:09:34,false
187,error,error,error,error,error,error,error,error,error,2024-09-25 03:10:34,false
188,error,error,error,error,error,error,error,error,error,2024-09-25 03:11:34,false
189,error,error,error,error,error,error,error,error,error,2024-09-25 03:12:34,false
190,error,error,error,error,error,error,error,error,error,2024-09-25 03:13:34,false
191,error,error,error,error,error,error,error,error,error,2024-09-25 03:14:34,false
192,error,error,error,error,error,error,error,error,error,2024-09-25 03:15:34,false
193,error,error,error,error,error,error,error,error,error,2024-09-25 03:16:34,false
194,error,error,error,error,error,error,error,error,error,2024-09-25 03:17:34,false
195,error,error,error,error,error,error,error,error,error,2024-09-25 03:18:34,false
196,error,error,error,error,error,error,error,error,error,2024-09-25 03:19:34,false
197,error,error,error,error,error,error,error,error,error,2024-09-25 03:20:34,false
198,error,error,error,error,error,error,error,error,error,2024-09-25 03:21:34,false
199,error,error,error,error,error,error,error,error,error,2024-09-25 03:22:34,false
200,error,error,error,error,error,error,error,error,error,2024-09-25 03:23:34,false
201,error,error,error,error,error,error,error,error,error,2024-09-25 03:24:34,false
202,error,error,error,error,error,error,error,error,error,2024-09-25 03:25:34,false
203,error,error,error,error,error,error,error,error,error,2024-09-25 03:26:34,false
204,error,error,error,error,error,error,error,error,error,2024-09-25 03:27:34,false
205,error,error,error,error,error,error,error,error,error,2024-09-25 03:28:34,false
206,error,error,error,error,error,error,error,error,error,2024-09-25 03:29:34,false
207,error,error,error,error,error,error,error,error,error,2024-09-25 03:30:34,false
208,error,error,error,error,error,error,error,error,error,2024-09-25 03:31:34,false
209,error,error,error,error,error,error,error,error,error,2024-09-25 03:32:34,false
210,error,error,error,error,error,error,error,error,error,2024-09-25 03:33:34,false
211,error,error,error,error,error,error,error,error,error,2024-09-25 03:34:34,false
212,error,error,error,error,error,error,error,error,error,2024-09-25 03:35:34,false
213,error,error,error,error,error,error,error,error,error,2024-09-25 03:36:34,false
214,error,error,error,error,error,error,error,error,error,2024-09-25 03:37:34,false
215,error,error,error,error,error,error,error,error,error,2024-09-25 03:38:34,false
216,error,error,error,error,error,error,error,error,error,2024-09-25 03:39:34,false
217,error,error,error,error,error,error,error,error,error,2024-09-25 03:40:34,false
218,error,error,error,error,error,error,error,error,error,2024-09-25 03:41:34,false
219,error,error,error,error,error,error,error,error,error,2024-09-25 03:42:34,false
220,error,error,error,error,error,error,error,error,error,2024-09-25 03:43:34,false
221,error,error,error,error,error,error,error,error,error,2024-09-25 03:44:34,false
222,error,error,error,error,error,error,error,error,error,2024-09-25 03:45:34,false
223,error,error,error,error,error,error,error,error,error,2024-09-25 03:46:34,false
224,error,error,error,error,error,error,error,error,error,2024-09-25 03:47:34,false
225,error,error,error,error,error,error,error,error,error,2024-09-25 03:48:34,false
226,error,error,error,error,error,error,error,error,error,2024-09-25 03:49:34,false
227,error,error,error,error,error,error,error,error,error,2024-09-25 03:50:34,false
228,error,error,error,error,error,error,error,error,error,2024-09-25 03:51:34,false
229,error,error,error,error,error,error,error,error,error,2024-09-25 03:52:34,false
230,error,error,error,error,error,error,error,error,error,2024-09-25 03:53:34,false
231,error,error,error,error,error,error,error,error,error,2024-09-25 03:54:34,false
232,error,error,error,error,error,error,error,error,error,2024-09-25 03:55:34,false
233,error,error,error,error,error,error,error,error,error,2024-09-25 03:56:34,false
234,error,error,error,error,error,error,error,error,error,2024-09-25 03:57:34,false
235,error,error,error,error,error,error,error,error,error,2024-09-25 03:58:34,false
236,error,error,error,error,error,error,error,error,error,2024-09-25 04:00:34,false
237,error,error,error,error,error,error,error,error,error,2024-09-25 04:01:34,false
238,error,error,error,error,error,error,error,error,error,2024-09-25 04:02:34,false
239,error,error,error,error,error,error,error,error,error,2024-09-25 04:03:34,false
240,error,error,error,error,error,error,error,error,error,2024-09-25 04:04:34,false
241,error,error,error,error,error,error,error,error,error,2024-09-25 04:05:34,false
242,error,error,error,error,error,error,error,error,error,2024-09-25 04:06:34,false
243,error,error,error,error,error,error,error,error,error,2024-09-25 04:07:34,false
244,error,error,error,error,error,error,error,error,error,2024-09-25 04:08:34,false
245,error,error,error,error,error,error,error,error,error,2024-09-25 04:09:34,false
246,error,error,error,error,error,error,error,error,error,2024-09-25 04:10:34,false
247,error,error,error,error,error,error,error,error,error,2024-09-25 04:11:34,false
248,error,error,error,error,error,error,error,error,error,2024-09-25 04:12:34,false
249,error,error,error,error,error,error,error,error,error,2024-09-25 04:13:34,false
250,error,error,error,error,error,error,error,error,error,2024-09-25 04:14:34,false
251,error,error,error,error,error,error,error,error,error,2024-09-25 04:15:34,false
252,error,error,error,error,error,error,error,error,error,2024-09-25 04:16:34,false
253,error,error,error,error,error,error,error,error,error,2024-09-25 04:17:34,false
254,error,error,error,error,error,error,error,error,error,2024-09-25 04:18:34,false
255,error,error,error,error,error,error,error,error,error,2024-09-25 04:19:34,false
256,error,error,error,error,error,error,error,error,error,2024-09-25 04:20:34,false
257,error,error,error,error,error,error,error,error,error,2024-09-25 04:21:34,false
258,error,error,error,error,error,error,error,error,error,2024-09-25 04:22:34,false
259,error,error,error,error,error,error,error,error,error,2024-09-25 04:23:34,false
260,error,error,error,error,error,error,error,error,error,2024-09-25 04:24:34,false
261,error,error,error,error,error,error,error,error,error,2024-09-25 04:25:34,false
262,error,error,error,error,error,error,error,error,error,2024-09-25 04:26:34,false
263,error,error,error,error,error,error,error,error,error,2024-09-25 04:27:34,false
264,error,error,error,error,error,error,error,error,error,2024-09-25 04:28:34,false
265,error,error,error,error,error,error,error,error,error,2024-09-25 04:29:34,false
266,error,error,error,error,error,error,error,error,error,2024-09-25 04:30:34,false
267,error,error,error,error,error,error,error,error,error,2024-09-25 04:31:34,false
268,error,error,error,error,error,error,error,error,error,2024-09-25 04:32:34,false
269,error,error,error,error,error,error,error,error,error,2024-09-25 04:33:34,false
270,error,error,error,error,error,error,error,error,error,2024-09-25 04:34:34,false
271,error,error,error,error,error,error,error,error,error,2024-09-25 04:35:34,false
272,error,error,error,error,error,error,error,error,error,2024-09-25 04:36:34,false
273,error,error,error,error,error,error,error,error,error,2024-09-25 04:37:34,false
274,error,error,error,error,error,error,error,error,error,2024-09-25 04:38:34,false
275,error,error,error,error,error,error,error,error,error,2024-09-25 04:39:34,false
276,error,error,error,error,error,error,error,error,error,2024-09-25 04:40:34,false
277,error,error,error,error,error,error,error,error,error,2024-09-25 04:41:34,false
278,error,error,error,error,error,error,error,error,error,2024-09-25 04:42:34,false
279,error,error,error,error,error,error,error,error,error,2024-09-25 04:43:34,false
280,error,error,error,error,error,error,error,error,error,2024-09-25 04:44:34,false
281,error,error,error,error,error,error,error,error,error,2024-09-25 04:45:34,false
282,error,error,error,error,error,error,error,error,error,2024-09-25 04:46:34,false
283,error,error,error,error,error,error,error,error,error,2024-09-25 04:47:34,false
284,error,error,error,error,error,error,error,error,error,2024-09-25 04:48:34,false
285,error,error,error,error,error,error,error,error,error,2024-09-25 04:49:34,false
286,error,error,error,error,error,error,error,error,error,2024-09-25 04:50:34,false
287,error,error,error,error,error,error,error,error,error,2024-09-25 04:51:34,false
288,error,error,error,error,error,error,error,error,error,2024-09-25 04:52:34,false
289,error,error,error,error,error,error,error,error,error,2024-09-25 04:53:34,false
290,error,error,error,error,error,error,error,error,error,2024-09-25 04:54:34,false
291,error,error,error,error,error,error,error,error,error,2024-09-25 04:55:34,false
292,error,error,error,error,error,error,error,error,error,2024-09-25 04:56:34,false
293,error,error,error,error,error,error,error,error,error,2024-09-25 04:57:34,false
294,error,error,error,error,error,error,error,error,error,2024-09-25 04:58:34,false
295,error,error,error,error,error,error,error,error,error,2024-09-25 05:00:34,false
296,error,error,error,error,error,error,error,error,error,2024-09-25 05:01:34,false
297,error,error,error,error,error,error,error,error,error,2024-09-25 05:02:34,false
298,error,error,error,error,error,error,error,error,error,2024-09-25 05:03:34,false
299,error,error,error,error,error,error,error,error,error,2024-09-25 05:04:34,false
300,error,error,error,error,error,error,error,error,error,2024-09-25 05:05:34,false
301,error,error,error,error,error,error,error,error,error,2024-09-25 05:06:34,false
302,error,error,error,error,error,error,error,error,error,2024-09-25 05:07:34,false
303,error,error,error,error,error,error,error,error,error,2024-09-25 05:08:34,false
304,error,error,error,error,error,error,error,error,error,2024-09-25 05:09:34,false
305,error,error,error,error,error,error,error,error,error,2024-09-25 05:10:34,false
306,error,error,error,error,error,error,error,error,error,2024-09-25 05:11:34,false
307,error,error,error,error,error,error,error,error,error,2024-09-25 05:12:34,false
308,error,error,error,error,error,error,error,error,error,2024-09-25 05:13:34,false
309,error,error,error,error,error,error,error,error,error,2024-09-25 05:14:34,false
310,error,error,error,error,error,error,error,error,error,2024-09-25 05:15:34,false
311,error,error,error,error,error,error,error,error,error,2024-09-25 05:16:34,false
312,error,error,error,error,error,error,error,error,error,2024-09-25 05:17:34,false
313,error,error,error,error,error,error,error,error,error,2024-09-25 05:18:34,false
314,error,error,error,error,error,error,error,error,error,2024-09-25 05:19:34,false
315,error,error,error,error,error,error,error,error,error,2024-09-25 05:20:34,false
316,error,error,error,error,error,error,error,error,error,2024-09-25 05:21:34,false
317,error,error,error,error,error,error,error,error,error,2024-09-25 05:22:34,false
318,error,error,error,error,error,error,error,error,error,2024-09-25 05:23:34,false
319,error,error,error,error,error,error,error,error,error,2024-09-25 05:24:34,false
320,error,error,error,error,error,error,error,error,error,2024-09-25 05:25:34,false
321,error,error,error,error,error,error,error,error,error,2024-09-25 05:26:34,false
322,error,error,error,error,error,error,error,error,error,2024-09-25 05:27:34,false
323,error,error,error,error,error,error,error,error,error,2024-09-25 05:28:34,false
324,error,error,error,error,error,error,error,error,error,2024-09-25 05:29:34,false
325,error,error,error,error,error,error,error,error,error,2024-09-25 05:30:34,false
326,error,error,error,error,error,error,error,error,error,2024-09-25 05:31:34,false
327,error,error,error,error,error,error,error,error,error,2024-09-25 05:32:34,false
328,error,error,error,error,error,error,error,error,error,2024-09-25 05:33:34,false
329,error,error,error,error,error,error,error,error,error,2024-09-25 05:34:34,false
330,error,error,error,error,error,error,error,error,error,2024-09-25 05:35:34,false
331,error,error,error,error,error,error,error,error,error,2024-09-25 05:36:34,false
332,error,error,error,error,error,error,error,error,error,2024-09-25 05:37:34,false
333,error,error,error,error,error,error,error,error,error,2024-09-25 05:38:34,false
334,error,error,error,error,error,error,error,error,error,2024-09-25 05:39:34,false
335,error,error,error,error,error,error,error,error,error,2024-09-25 05:40:34,false
336,error,error,error,error,error,error,error,error,error,2024-09-25 05:41:34,false
337,error,error,error,error,error,error,error,error,error,2024-09-25 05:42:34,false
338,error,error,error,error,error,error,error,error,error,2024-09-25 05:43:34,false
339,error,error,error,error,error,error,error,error,error,2024-09-25 05:44:34,false
340,error,error,error,error,error,error,error,error,error,2024-09-25 05:45:34,false
341,error,error,error,error,error,error,error,error,error,2024-09-25 05:46:34,false
342,error,error,error,error,error,error,error,error,error,2024-09-25 05:47:34,false
343,error,error,error,error,error,error,error,error,error,2024-09-25 05:48:34,false
344,error,error,error,error,error,error,error,error,error,2024-09-25 05:49:34,false
345,error,error,error,error,error,error,error,error,error,2024-09-25 05:50:34,false
346,error,error,error,error,error,error,error,error,error,2024-09-25 05:51:34,false
347,error,error,error,error,error,error,error,error,error,2024-09-25 05:52:34,false
348,error,error,error,error,error,error,error,error,error,2024-09-25 05:53:34,false
349,error,error,error,error,error,error,error,error,error,2024-09-25 05:54:34,false
350,error,error,error,error,error,error,error,error,error,2024-09-25 05:55:34,false
351,error,error,error,error,error,error,error,error,error,2024-09-25 05:56:34,false
352,error,error,error,error,error,error,error,error,error,2024-09-25 05:57:34,false
353,error,error,error,error,error,error,error,error,error,2024-09-25 05:58:34,false
354,error,error,error,error,error,error,error,error,error,2024-09-25 06:00:34,false
355,error,error,error,error,error,error,error,error,error,2024-09-25 06:01:34,false
356,error,error,error,error,error,error,error,error,error,2024-09-25 06:02:34,false
357,error,error,error,error,error,error,error,error,error,2024-09-25 06:03:34,false
358,error,error,error,error,error,error,error,error,error,2024-09-25 06:04:34,false
359,error,error,error,error,error,error,error,error,error,2024-09-25 06:05:34,false
360,error,error,error,error,error,error,error,error,error,2024-09-25 06:06:34,false
361,error,error,error,error,error,error,error,error,error,2024-09-25 06:07:34,false
362,error,error,error,error,error,error,error,error,error,2024-09-25 06:08:34,false
363,error,error,error,error,error,error,error,error,error,2024-09-25 06:09:34,false
364,error,error,error,error,error,error,error,error,error,2024-09-25 06:10:34,false
365,error,error,error,error,error,error,error,error,error,2024-09-25 06:11:34,false
366,error,error,error,error,error,error,error,error,error,2024-09-25 06:12:34,false
367,error,error,error,error,error,error,error,error,error,2024-09-25 06:13:34,false
368,error,error,error,error,error,error,error,error,error,2024-09-25 06:14:34,false
369,error,error,error,error,error,error,error,error,error,2024-09-25 06:15:34,false
370,error,error,error,error,error,error,error,error,error,2024-09-25 06:16:34,false
371,error,error,error,error,error,error,error,error,error,2024-09-25 06:17:34,false
372,error,error,error,error,error,error,error,error,error,2024-09-25 06:18:34,false
373,error,error,error,error,error,error,error,error,error,2024-09-25 06:19:34,false
374,error,error,error,error,error,error,error,error,error,2024-09-25 06:20:34,false
375,error,error,error,error,error,error,error,error,error,2024-09-25 06:21:34,false
376,error,error,error,error,error,error,error,error,error,2024-09-25 06:22:34,false
377,error,error,error,error,error,error,error,error,error,2024-09-25 06:23:34,false
378,error,error,error,error,error,error,error,error,error,2024-09-25 06:24:34,false
379,error,error,error,error,error,error,error,error,error,2024-09-25 06:25:34,false
380,error,error,error,error,error,error,error,error,error,2024-09-25 06:26:34,false
381,error,error,error,error,error,error,error,error,error,2024-09-25 06:27:34,false
382,error,error,error,error,error,error,error,error,error,2024-09-25 06:28:34,false
383,error,error,error,error,error,error,error,error,error,2024-09-25 06:29:34,false
384,error,error,error,error,error,error,error,error,error,2024-09-25 06:30:34,false
385,error,error,error,error,error,error,error,error,error,2024-09-25 06:31:34,false
386,error,error,error,error,error,error,error,error,error,2024-09-25 06:32:34,false
387,error,error,error,error,error,error,error,error,error,2024-09-25 06:33:34,false
388,error,error,error,error,error,error,error,error,error,2024-09-25 06:34:34,false
389,error,error,error,error,error,error,error,error,error,2024-09-25 06:35:34,false
390,error,error,error,error,error,error,error,error,error,2024-09-25 06:36:34,false
391,error,error,error,error,error,error,error,error,error,2024-09-25 06:37:34,false
392,error,error,error,error,error,error,error,error,error,2024-09-25 06:38:34,false
393,error,error,error,error,error,error,error,error,error,2024-09-25 06:39:34,false
