Unnamed: 0,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v,status
22,6967,6960,6973,0,0,0,0,100,16,6004,0,0.0,2024-05-16 16:23:12,0,0,False
23,6969,6962,6976,0,0,0,0,100,10,6007,0,0.0,2024-05-16 16:24:12,0,0,False
24,6969,6963,6975,0,0,0,0,100,12,6007,0,0.0,2024-05-16 16:25:12,0,0,False
25,6969,6963,6976,0,0,0,0,100,14,6012,0,0.0,2024-05-16 16:26:12,0,0,False
26,6970,6964,6976,0,0,0,0,100,10,6007,0,0.0,2024-05-16 16:27:12,0,0,False
27,6969,6962,6976,0,0,0,0,100,15,6008,0,0.0,2024-05-16 16:28:12,0,0,False
28,6968,6962,6974,0,0,0,0,100,5,6006,0,0.0,2024-05-16 16:29:12,0,0,False
29,6970,6965,6976,0,0,0,0,100,5,6005,0,0.0,2024-05-16 16:30:12,0,0,False
30,6971,6965,6978,0,0,0,0,100,11,6008,0,0.0,2024-05-16 16:31:12,0,0,False
31,6969,6963,6975,0,0,0,0,100,10,6003,0,0.0,2024-05-16 16:32:13,0,0,False
32,6968,6962,6975,0,0,0,0,100,16,6003,0,0.0,2024-05-16 16:33:13,0,0,False
33,6972,6966,6978,0,0,0,0,100,4,5967,0,0.0,2024-05-16 16:34:13,0,0,False
34,6968,6962,6975,0,0,0,0,100,10,6005,0,0.0,2024-05-16 16:35:14,0,0,False
35,6969,6963,6975,0,0,0,0,100,12,6007,0,0.0,2024-05-16 16:36:14,0,0,False
36,6968,6961,6974,0,0,0,0,100,13,6006,0,0.0,2024-05-16 16:37:14,0,0,False
37,6968,6962,6974,0,0,0,0,100,13,6009,0,0.0,2024-05-16 16:38:15,0,0,False
38,6966,6960,6973,0,0,0,0,100,14,6010,0,0.0,2024-05-16 16:39:15,0,0,False
39,6963,6956,6969,0,0,0,0,100,10,6003,0,0.0,2024-05-16 16:40:16,0,0,False
40,6969,6963,6974,0,0,0,0,100,5,6007,0,0.0,2024-05-16 16:41:16,0,0,False
41,6969,6963,6975,0,0,0,0,100,13,6008,0,0.0,2024-05-16 16:42:16,0,0,False
42,6969,6964,6975,0,0,0,0,100,14,6007,0,0.0,2024-05-16 16:43:16,0,0,False
43,6968,6962,6975,0,0,0,0,100,15,6009,0,0.0,2024-05-16 16:44:16,0,0,False
44,6970,6963,6976,0,0,0,0,100,16,6008,0,0.0,2024-05-16 16:45:16,0,0,False
45,6969,6962,6976,0,0,0,0,100,11,6008,0,0.0,2024-05-16 16:46:16,0,0,False
46,6969,6962,6976,0,0,0,0,100,15,6008,0,0.0,2024-05-16 16:47:17,0,0,False
47,6970,6963,6976,0,0,0,0,100,5,6010,0,0.0,2024-05-16 16:48:17,0,0,False
48,6968,6962,6974,0,0,0,0,100,14,6003,0,0.0,2024-05-16 16:49:17,0,0,False
49,6969,6963,6976,0,0,0,0,100,5,6011,0,0.0,2024-05-16 16:50:17,0,0,False
50,6966,6961,6972,0,0,0,0,100,6,6001,0,0.0,2024-05-16 16:51:17,0,0,False
51,6970,6963,6976,0,0,0,0,100,6,6008,0,0.0,2024-05-16 16:52:18,0,0,False
52,6965,6959,6972,0,0,0,0,100,14,6000,0,0.0,2024-05-16 16:53:18,0,0,False
53,6969,6962,6975,0,0,0,0,100,10,6010,0,0.0,2024-05-16 16:54:18,0,0,False
54,6969,6963,6976,0,0,0,0,100,16,6009,0,0.0,2024-05-16 16:55:19,0,0,False
55,6969,6963,6975,0,0,0,0,100,8,6013,0,0.0,2024-05-16 16:56:19,0,0,False
56,6970,6963,6976,0,0,0,0,100,15,6011,0,0.0,2024-05-16 16:57:19,0,0,False
57,6968,6962,6975,0,0,0,0,100,15,6011,0,0.0,2024-05-16 16:58:20,0,0,False
58,6969,6963,6975,0,0,0,0,100,9,6010,0,0.0,2024-05-16 17:00:20,0,0,False
59,6965,6958,6972,0,0,0,0,100,13,6004,0,0.0,2024-05-16 17:01:20,0,0,False
60,6971,6964,6978,0,0,0,0,100,15,6008,0,0.0,2024-05-16 17:02:20,0,0,False
61,6969,6962,6976,0,0,0,0,100,15,6009,0,0.0,2024-05-16 17:03:21,0,0,False
62,6969,6963,6975,0,0,0,0,100,4,6011,0,0.0,2024-05-16 17:04:21,0,0,False
63,6967,6961,6973,0,0,0,0,100,14,5995,0,0.0,2024-05-16 17:05:21,0,0,False
64,6971,6966,6977,0,0,0,0,100,7,5996,0,0.0,2024-05-16 17:06:21,0,0,False
65,6969,6963,6976,0,0,0,0,100,6,6007,0,0.0,2024-05-16 17:07:21,0,0,False
66,6968,6962,6974,0,0,0,0,100,5,6012,0,0.0,2024-05-16 17:08:22,0,0,False
67,6970,6964,6975,0,0,0,0,100,5,5999,0,0.0,2024-05-16 17:09:22,0,0,False
68,6971,6965,6976,0,0,0,0,100,5,6010,0,0.0,2024-05-16 17:10:23,0,0,False
69,6969,6962,6975,0,0,0,0,100,9,6010,0,0.0,2024-05-16 17:11:23,0,0,False
70,6970,6964,6977,0,0,0,0,100,10,6007,0,0.0,2024-05-16 17:12:23,0,0,False
71,6969,6962,6975,0,0,0,0,100,15,6007,0,0.0,2024-05-16 17:13:23,0,0,False
72,6969,6963,6975,0,0,0,0,100,13,6007,0,0.0,2024-05-16 17:14:23,0,0,False
73,6970,6965,6976,0,0,0,0,100,5,6007,0,0.0,2024-05-16 17:15:23,0,0,False
74,6969,6962,6975,0,0,0,0,100,13,6008,0,0.0,2024-05-16 17:16:24,0,0,False
75,6968,6963,6973,0,0,0,0,100,4,6009,0,0.0,2024-05-16 17:17:24,0,0,False
76,6971,6965,6977,0,0,0,0,100,10,6007,0,0.0,2024-05-16 17:18:24,0,0,False
77,6970,6964,6976,0,0,0,0,100,13,6007,0,0.0,2024-05-16 17:19:24,0,0,False
78,6969,6962,6975,0,0,0,0,100,15,6009,0,0.0,2024-05-16 17:20:24,0,0,False
79,6969,6964,6975,0,0,0,0,100,3,6007,0,0.0,2024-05-16 17:21:24,0,0,False
80,6970,6965,6976,0,0,0,0,100,11,6008,0,0.0,2024-05-16 17:22:25,0,0,False
81,6972,6965,6978,0,0,0,0,100,5,6007,0,0.0,2024-05-16 17:23:25,0,0,False
82,6968,6962,6974,0,0,0,0,100,10,6011,0,0.0,2024-05-16 17:24:26,0,0,False
83,6967,6961,6974,0,0,0,0,100,13,6011,0,0.0,2024-05-16 17:25:26,0,0,False
84,6968,6962,6975,0,0,0,0,100,14,6010,0,0.0,2024-05-16 17:26:26,0,0,False
85,6967,6962,6973,0,0,0,0,100,7,6006,0,0.0,2024-05-16 17:27:26,0,0,False
86,6968,6962,6973,0,0,0,0,100,10,6000,0,0.0,2024-05-16 17:28:26,0,0,False
87,6967,6961,6973,0,0,0,0,100,11,6005,0,0.0,2024-05-16 17:29:27,0,0,False
88,6969,6963,6974,0,0,0,0,100,11,6001,0,0.0,2024-05-16 17:30:27,0,0,False
89,6968,6962,6974,0,0,0,0,100,5,6000,0,0.0,2024-05-16 17:31:27,0,0,False
90,6969,6963,6975,0,0,0,0,100,6,6009,0,0.0,2024-05-16 17:32:27,0,0,False
91,6968,6962,6975,0,0,0,0,100,12,6009,0,0.0,2024-05-16 17:33:28,0,0,False
92,6970,6963,6976,0,0,0,0,100,13,6010,0,0.0,2024-05-16 17:34:28,0,0,False
93,6966,6959,6973,0,0,0,0,100,13,6006,0,0.0,2024-05-16 17:35:28,0,0,False
94,6970,6963,6977,0,0,0,0,100,6,6005,0,0.0,2024-05-16 17:36:28,0,0,False
95,6969,6963,6975,0,0,0,0,100,14,6003,0,0.0,2024-05-16 17:37:28,0,0,False
96,6970,6963,6977,0,0,0,0,100,15,6005,0,0.0,2024-05-16 17:38:29,0,0,False
97,6967,6961,6972,0,0,0,0,100,12,6012,0,0.0,2024-05-16 17:39:29,0,0,False
98,6969,6963,6975,0,0,0,0,100,11,6010,0,0.0,2024-05-16 17:40:29,0,0,False
99,6969,6963,6975,0,0,0,0,100,14,6008,0,0.0,2024-05-16 17:41:30,0,0,False
100,6967,6961,6973,0,0,0,0,100,11,6004,0,0.0,2024-05-16 17:42:30,0,0,False
101,6968,6963,6974,0,0,0,0,100,12,5999,0,0.0,2024-05-16 17:43:30,0,0,False
102,6971,6966,6977,0,0,0,0,100,14,5991,0,0.0,2024-05-16 17:44:31,0,0,False
103,6969,6964,6975,0,0,0,0,100,8,6004,0,0.0,2024-05-16 17:45:31,0,0,False
104,6968,6962,6974,0,0,0,0,100,5,6012,0,0.0,2024-05-16 17:46:31,0,0,False
105,6968,6962,6973,0,0,0,0,100,7,6006,0,0.0,2024-05-16 17:47:31,0,0,False
106,6969,6963,6974,0,0,0,0,100,14,6003,0,0.0,2024-05-16 17:48:32,0,0,False
107,6967,6961,6973,0,0,0,0,100,5,6010,0,0.0,2024-05-16 17:49:32,0,0,False
108,6968,6962,6974,0,0,0,0,100,15,6008,0,0.0,2024-05-16 17:50:32,0,0,False
109,6969,6963,6975,0,0,0,0,100,12,6007,0,0.0,2024-05-16 17:51:33,0,0,False
110,6967,6961,6973,0,0,0,0,100,6,6009,0,0.0,2024-05-16 17:52:33,0,0,False
111,6969,6963,6975,0,0,0,0,100,5,6009,0,0.0,2024-05-16 17:53:33,0,0,False
112,6969,6963,6974,0,0,0,0,100,4,6008,0,0.0,2024-05-16 17:54:33,0,0,False
113,6967,6961,6972,0,0,0,0,100,5,6006,0,0.0,2024-05-16 17:55:33,0,0,False
114,6968,6962,6974,0,0,0,0,100,13,6008,0,0.0,2024-05-16 17:56:33,0,0,False
115,6969,6963,6975,0,0,0,0,100,7,6012,0,0.0,2024-05-16 17:57:33,0,0,False
116,6970,6964,6976,0,0,0,0,100,6,6012,0,0.0,2024-05-16 17:58:33,0,0,False
117,6970,6964,6976,0,0,0,0,100,14,6008,0,0.0,2024-05-16 18:00:34,0,0,False
118,6970,6964,6976,0,0,0,0,100,10,6007,0,0.0,2024-05-16 18:01:34,0,0,False
119,6959,6954,6964,0,0,0,0,100,7,6007,0,0.0,2024-05-16 18:02:34,0,0,False
120,6970,6964,6976,0,0,0,0,100,13,6008,0,0.0,2024-05-16 18:03:35,0,0,False
121,6971,6965,6977,0,0,0,0,100,10,6007,0,0.0,2024-05-16 18:04:35,0,0,False
122,6972,6967,6978,0,0,0,0,100,4,6011,0,0.0,2024-05-16 18:05:35,0,0,False
123,6969,6963,6975,0,0,0,0,100,12,6012,0,0.0,2024-05-16 18:06:36,0,0,False
124,6969,6963,6975,0,0,0,0,100,11,6006,0,0.0,2024-05-16 18:07:36,0,0,False
125,6970,6964,6976,0,0,0,0,100,11,6007,0,0.0,2024-05-16 18:08:36,0,0,False
126,6968,6962,6974,0,0,0,0,100,6,6012,0,0.0,2024-05-16 18:09:36,0,0,False
127,6970,6964,6976,0,0,0,0,100,8,6009,0,0.0,2024-05-16 18:10:36,0,0,False
128,6969,6962,6976,0,0,0,0,100,15,6011,0,0.0,2024-05-16 18:11:36,0,0,False
129,6967,6961,6973,0,0,0,0,100,6,5999,0,0.0,2024-05-16 18:12:37,0,0,False
130,6963,6956,6969,0,0,0,0,100,14,6007,0,0.0,2024-05-16 18:13:37,0,0,False
131,6967,6960,6973,0,0,0,0,100,13,6009,0,0.0,2024-05-16 18:14:38,0,0,False
132,6968,6961,6974,0,0,0,0,100,15,6007,0,0.0,2024-05-16 18:15:38,0,0,False
133,6969,6963,6975,0,0,0,0,100,8,6010,0,0.0,2024-05-16 18:16:38,0,0,False
134,6967,6960,6973,0,0,0,0,100,10,6010,0,0.0,2024-05-16 18:17:38,0,0,False
135,6968,6962,6974,0,0,0,0,100,5,6011,0,0.0,2024-05-16 18:18:39,0,0,False
136,6968,6962,6974,0,0,0,0,100,6,6010,0,0.0,2024-05-16 18:19:39,0,0,False
137,6965,6959,6972,0,0,0,0,100,9,6004,0,0.0,2024-05-16 18:20:39,0,0,False
138,6967,6961,6973,0,0,0,0,100,13,5998,0,0.0,2024-05-16 18:21:40,0,0,False
139,6975,6969,6981,0,0,0,0,100,5,5997,0,0.0,2024-05-16 18:22:40,0,0,False
140,6966,6960,6972,0,0,0,0,100,9,5996,0,0.0,2024-05-16 18:23:40,0,0,False
141,6968,6962,6975,0,0,0,0,100,14,6010,0,0.0,2024-05-16 18:24:41,0,0,False
142,6968,6961,6974,0,0,0,0,100,6,6007,0,0.0,2024-05-16 18:25:41,0,0,False
143,6969,6963,6974,0,0,0,0,100,6,6007,0,0.0,2024-05-16 18:26:41,0,0,False
144,6969,6962,6975,0,0,0,0,100,5,6009,0,0.0,2024-05-16 18:27:41,0,0,False
145,6968,6962,6975,0,0,0,0,100,10,6007,0,0.0,2024-05-16 18:28:42,0,0,False
146,6970,6964,6977,0,0,0,0,100,11,6007,0,0.0,2024-05-16 18:29:42,0,0,False
147,6968,6963,6974,0,0,0,0,100,6,6010,0,0.0,2024-05-16 18:30:43,0,0,False
148,6967,6961,6974,0,0,0,0,100,14,6007,0,0.0,2024-05-16 18:31:43,0,0,False
149,6967,6960,6974,0,0,0,0,100,9,6005,0,0.0,2024-05-16 18:32:43,0,0,False
150,6971,6964,6978,0,0,0,0,100,9,6011,0,0.0,2024-05-16 18:33:44,0,0,False
151,6967,6962,6973,0,0,0,0,100,5,5992,0,0.0,2024-05-16 18:34:44,0,0,False
152,6970,6964,6976,0,0,0,0,100,12,6001,0,0.0,2024-05-16 18:35:44,0,0,False
153,6967,6961,6973,0,0,0,0,100,13,5986,0,0.0,2024-05-16 18:36:44,0,0,False
154,6968,6961,6974,0,0,0,0,100,15,6013,0,0.0,2024-05-16 18:37:45,0,0,False
155,6967,6961,6973,0,0,0,0,100,11,6008,0,0.0,2024-05-16 18:38:45,0,0,False
156,6969,6962,6975,0,0,0,0,100,8,6003,0,0.0,2024-05-16 18:39:46,0,0,False
157,6967,6961,6974,0,0,0,0,100,5,5998,0,0.0,2024-05-16 18:40:46,0,0,False
158,6967,6960,6974,0,0,0,0,100,9,6003,0,0.0,2024-05-16 18:41:46,0,0,False
159,6966,6959,6973,0,0,0,0,100,16,6007,0,0.0,2024-05-16 18:42:47,0,0,False
160,6968,6961,6975,0,0,0,0,100,10,6010,0,0.0,2024-05-16 18:43:47,0,0,False
161,6968,6962,6974,0,0,0,0,100,11,6011,0,0.0,2024-05-16 18:44:48,0,0,False
162,6968,6962,6975,0,0,0,0,100,15,6010,0,0.0,2024-05-16 18:45:48,0,0,False
163,6968,6962,6974,0,0,0,0,100,14,6009,0,0.0,2024-05-16 18:46:48,0,0,False
164,6965,6959,6972,0,0,0,0,100,9,5992,0,0.0,2024-05-16 18:47:48,0,0,False
165,6964,6957,6970,0,0,0,0,100,15,6009,0,0.0,2024-05-16 18:48:49,0,0,False
166,6968,6961,6974,0,0,0,0,100,7,5996,0,0.0,2024-05-16 18:49:49,0,0,False
167,6969,6962,6975,0,0,0,0,100,11,5980,0,0.0,2024-05-16 18:50:50,0,0,False
168,6966,6959,6972,0,0,0,0,100,16,5997,0,0.0,2024-05-16 18:51:50,0,0,False
169,6967,6961,6974,0,0,0,0,100,6,6005,0,0.0,2024-05-16 18:52:50,0,0,False
170,6968,6962,6974,0,0,0,0,100,5,6005,0,0.0,2024-05-16 18:53:50,0,0,False
171,6969,6963,6975,0,0,0,0,100,5,6011,0,0.0,2024-05-16 18:54:51,0,0,False
172,6968,6962,6974,0,0,0,0,100,14,6001,0,0.0,2024-05-16 18:55:51,0,0,False
173,6968,6962,6975,0,0,0,0,100,13,6004,0,0.0,2024-05-16 18:56:51,0,0,False
174,6968,6962,6974,0,0,0,0,100,7,6004,0,0.0,2024-05-16 18:57:51,0,0,False
175,6969,6962,6975,0,0,0,0,100,13,6006,0,0.0,2024-05-16 18:58:51,0,0,False
176,6969,6963,6976,0,0,0,0,100,6,6003,0,0.0,2024-05-16 19:00:51,0,0,False
177,6969,6962,6976,0,0,0,0,100,11,6004,0,0.0,2024-05-16 19:01:52,0,0,False
178,6967,6960,6973,0,0,0,0,100,10,6004,0,0.0,2024-05-16 19:02:52,0,0,False
179,6969,6962,6976,0,0,0,0,100,8,6005,0,0.0,2024-05-16 19:03:54,0,0,False
180,6968,6961,6975,0,0,0,0,100,15,6006,0,0.0,2024-05-16 19:04:54,0,0,False
181,6968,6962,6974,0,0,0,0,100,13,6003,0,0.0,2024-05-16 19:05:54,0,0,False
182,6969,6963,6975,0,0,0,0,100,5,6005,0,0.0,2024-05-16 19:06:54,0,0,False
183,6970,6964,6975,0,0,0,0,100,9,5999,0,0.0,2024-05-16 19:07:55,0,0,False
184,6971,6965,6977,0,0,0,0,100,6,5978,0,0.0,2024-05-16 19:08:55,0,0,False
185,6970,6963,6976,0,0,0,0,100,16,6004,0,0.0,2024-05-16 19:09:55,0,0,False
186,6969,6963,6975,0,0,0,0,100,5,6018,0,0.0,2024-05-16 19:10:56,0,0,False
187,6971,6965,6977,0,0,0,0,100,14,6008,0,0.0,2024-05-16 19:11:56,0,0,False
188,6970,6964,6976,0,0,0,0,100,11,6010,0,0.0,2024-05-16 19:12:57,0,0,False
189,6968,6962,6975,0,0,0,0,100,9,6010,0,0.0,2024-05-16 19:13:57,0,0,False
190,6967,6961,6974,0,0,0,0,100,13,6006,0,0.0,2024-05-16 19:14:57,0,0,False
191,6967,6961,6973,0,0,0,0,100,7,6008,0,0.0,2024-05-16 19:15:57,0,0,False
192,6967,6961,6974,0,0,0,0,100,9,6012,0,0.0,2024-05-16 19:16:57,0,0,False
193,6967,6960,6974,0,0,0,0,100,16,6011,0,0.0,2024-05-16 19:17:57,0,0,False
194,6966,6960,6973,0,0,0,0,100,9,6010,0,0.0,2024-05-16 19:18:58,0,0,False
195,6970,6963,6976,0,0,0,0,100,9,6008,0,0.0,2024-05-16 19:19:58,0,0,False
196,6968,6963,6974,0,0,0,0,100,6,6010,0,0.0,2024-05-16 19:20:58,0,0,False
197,6969,6963,6976,0,0,0,0,100,6,6009,0,0.0,2024-05-16 19:21:58,0,0,False
198,6969,6962,6975,0,0,0,0,100,14,6009,0,0.0,2024-05-16 19:22:59,0,0,False
199,6968,6961,6975,0,0,0,0,100,11,6010,0,0.0,2024-05-16 19:23:59,0,0,False
200,6967,6961,6973,0,0,0,0,100,12,6010,0,0.0,2024-05-16 19:24:59,0,0,False
201,6967,6961,6973,0,0,0,0,100,11,6009,0,0.0,2024-05-16 19:26:00,0,0,False
202,6968,6963,6974,0,0,0,0,100,5,6005,0,0.0,2024-05-16 19:27:00,0,0,False
203,6968,6962,6974,0,0,0,0,100,5,6009,0,0.0,2024-05-16 19:28:00,0,0,False
204,6969,6962,6975,0,0,0,0,100,15,6005,0,0.0,2024-05-16 19:29:00,0,0,False
205,6969,6963,6976,0,0,0,0,100,9,6005,0,0.0,2024-05-16 19:30:00,0,0,False
206,6967,6961,6974,0,0,0,0,100,7,6002,0,0.0,2024-05-16 19:31:01,0,0,False
207,6967,6961,6973,0,0,0,0,100,14,6005,0,0.0,2024-05-16 19:32:01,0,0,False
208,6969,6963,6975,0,0,0,0,100,6,6008,0,0.0,2024-05-16 19:33:01,0,0,False
209,6964,6959,6969,0,0,0,0,100,6,5983,0,0.0,2024-05-16 19:34:01,0,0,False
210,6965,6960,6971,0,0,0,0,100,9,5983,0,0.0,2024-05-16 19:35:02,0,0,False
211,6966,6960,6972,0,0,0,0,100,8,5990,0,0.0,2024-05-16 19:36:02,0,0,False
212,6968,6961,6974,0,0,0,0,100,13,6018,0,0.0,2024-05-16 19:37:03,0,0,False
213,6969,6962,6976,0,0,0,0,100,14,6010,0,0.0,2024-05-16 19:38:02,0,0,False
214,6970,6963,6976,0,0,0,0,100,12,5993,0,0.0,2024-05-16 19:39:02,0,0,False
215,6968,6962,6974,0,0,0,0,100,6,6002,0,0.0,2024-05-16 19:40:03,0,0,False
216,6971,6965,6978,0,0,0,0,100,13,6006,0,0.0,2024-05-16 19:41:03,0,0,False
217,6969,6963,6975,0,0,0,0,100,8,6010,0,0.0,2024-05-16 19:42:03,0,0,False
218,6969,6963,6976,0,0,0,0,100,12,6009,0,0.0,2024-05-16 19:43:03,0,0,False
219,6968,6962,6975,0,0,0,0,100,5,6011,0,0.0,2024-05-16 19:44:03,0,0,False
220,6969,6962,6976,0,0,0,0,100,13,6007,0,0.0,2024-05-16 19:45:03,0,0,False
221,6971,6965,6977,0,0,0,0,100,6,6005,0,0.0,2024-05-16 19:46:04,0,0,False
222,6972,6966,6978,0,0,0,0,100,5,5991,0,0.0,2024-05-16 19:47:04,0,0,False
223,6970,6964,6977,0,0,0,0,100,15,5991,0,0.0,2024-05-16 19:48:04,0,0,False
224,6968,6962,6974,0,0,0,0,100,12,6002,0,0.0,2024-05-16 19:49:05,0,0,False
225,6971,6964,6977,0,0,0,0,100,5,6004,0,0.0,2024-05-16 19:50:05,0,0,False
226,6970,6964,6976,0,0,0,0,100,7,6004,0,0.0,2024-05-16 19:51:05,0,0,False
227,6969,6962,6975,0,0,0,0,100,16,6008,0,0.0,2024-05-16 19:52:06,0,0,False
228,6969,6963,6975,0,0,0,0,100,13,6006,0,0.0,2024-05-16 19:53:06,0,0,False
229,6969,6962,6976,0,0,0,0,100,13,6003,0,0.0,2024-05-16 19:54:06,0,0,False
230,6967,6960,6973,0,0,0,0,100,9,6005,0,0.0,2024-05-16 19:55:07,0,0,False
231,6966,6962,6973,0,0,0,0,100,7,6007,0,0.0,2024-05-16 19:56:08,0,0,False
232,6968,6961,6975,0,0,0,0,100,16,6005,0,0.0,2024-05-16 19:57:08,0,0,False
233,6971,6965,6978,0,0,0,0,100,6,6009,0,0.0,2024-05-16 19:58:08,0,0,False
234,6968,6962,6974,0,0,0,0,100,5,6006,0,0.0,2024-05-16 20:00:09,0,0,False
235,6967,6961,6973,0,0,0,0,100,6,6004,0,0.0,2024-05-16 20:01:09,0,0,False
236,6969,6962,6976,0,0,0,0,100,13,6006,0,0.0,2024-05-16 20:02:10,0,0,False
237,6969,6963,6975,0,0,0,0,100,16,6009,0,0.0,2024-05-16 20:03:10,0,0,False
238,6968,6961,6975,0,0,0,0,100,15,6008,0,0.0,2024-05-16 20:04:10,0,0,False
239,6969,6963,6975,0,0,0,0,100,7,6008,0,0.0,2024-05-16 20:05:10,0,0,False
240,6968,6961,6975,0,0,0,0,100,13,6009,0,0.0,2024-05-16 20:06:11,0,0,False
241,6967,6961,6973,0,0,0,0,100,8,6009,0,0.0,2024-05-16 20:07:11,0,0,False
242,6969,6962,6976,0,0,0,0,100,14,6009,0,0.0,2024-05-16 20:08:11,0,0,False
243,6969,6962,6975,0,0,0,0,100,9,6008,0,0.0,2024-05-16 20:09:12,0,0,False
244,6968,6962,6974,0,0,0,0,100,6,6008,0,0.0,2024-05-16 20:10:12,0,0,False
245,6967,6960,6974,0,0,0,0,100,16,6009,0,0.0,2024-05-16 20:11:12,0,0,False
246,6968,6961,6974,0,0,0,0,100,11,6009,0,0.0,2024-05-16 20:12:12,0,0,False
247,6968,6961,6976,0,0,0,0,100,16,6011,0,0.0,2024-05-16 20:13:12,0,0,False
248,6968,6962,6973,0,0,0,0,100,4,6010,0,0.0,2024-05-16 20:14:13,0,0,False
249,6968,6962,6974,0,0,0,0,100,8,6011,0,0.0,2024-05-16 20:15:13,0,0,False
250,6970,6963,6976,0,0,0,0,100,15,6011,0,0.0,2024-05-16 20:16:13,0,0,False
251,6969,6963,6975,0,0,0,0,100,14,6010,0,0.0,2024-05-16 20:17:13,0,0,False
252,6967,6962,6971,0,0,0,0,100,4,6006,0,0.0,2024-05-16 20:18:13,0,0,False
253,6967,6961,6973,0,0,0,0,100,5,6012,0,0.0,2024-05-16 20:19:14,0,0,False
254,6966,6961,6970,0,0,0,0,100,8,5996,0,0.0,2024-05-16 20:20:14,0,0,False
255,6968,6962,6974,0,0,0,0,100,9,6004,0,0.0,2024-05-16 20:21:14,0,0,False
256,6965,6959,6971,0,0,0,0,100,9,5992,0,0.0,2024-05-16 20:22:14,0,0,False
257,6966,6961,6972,0,0,0,0,100,3,5995,0,0.0,2024-05-16 20:23:14,0,0,False
258,6968,6962,6974,0,0,0,0,100,8,6005,0,0.0,2024-05-16 20:24:15,0,0,False
259,6967,6960,6973,0,0,0,0,100,15,6001,0,0.0,2024-05-16 20:25:15,0,0,False
260,6967,6961,6974,0,0,0,0,100,15,6005,0,0.0,2024-05-16 20:26:15,0,0,False
261,6967,6961,6973,0,0,0,0,100,11,6003,0,0.0,2024-05-16 20:27:15,0,0,False
262,6968,6961,6975,0,0,0,0,100,11,6007,0,0.0,2024-05-16 20:28:15,0,0,False
263,6968,6962,6974,0,0,0,0,100,5,6007,0,0.0,2024-05-16 20:29:16,0,0,False
264,6969,6963,6975,0,0,0,0,100,10,6005,0,0.0,2024-05-16 20:30:16,0,0,False
265,6968,6962,6975,0,0,0,0,100,9,6005,0,0.0,2024-05-16 20:31:16,0,0,False
266,6968,6962,6974,0,0,0,0,100,5,6006,0,0.0,2024-05-16 20:32:17,0,0,False
267,6969,6963,6975,0,0,0,0,100,7,6008,0,0.0,2024-05-16 20:33:17,0,0,False
268,6968,6960,6975,0,0,0,0,100,15,6008,0,0.0,2024-05-16 20:34:17,0,0,False
